model,baseline,method,after_sel,sel_gain,after_hp,hp_gain
ARIMA,1.9241,none,1.9241,0.0,,
BayesianMCMC,2.1377,none,2.1377,0.0,2.171072674913109,-0.03337267491310891
BayesianRidge,2.8278,pca,2.3748,0.45299999999999985,6.012294925867194,-3.6374949258671943
CQR-LightGBM,7.6699,pca,5.5072,2.1627,5.328470934468817,0.17872906553118284
CQR-QuantReg,1.7466,none,1.7466,0.0,1.918759201376365,-0.1721592013763651
DNN,11.9537,pca,8.9018,3.0519,10.487509185832456,-1.5857091858324566
DNN-Conformal,2.4205,none,2.4205,0.0,2.73931456639917,-0.31881456639916994
ElasticNet,2.0897,none,2.0897,0.0,1.8655119778649374,0.22418802213506273
EpiEstim,2.5261,none,2.5261,0.0,,
GAM-Spline,3.9975,vif,2.6966,1.3009,1.6123891564937942,1.084210843506206
GAT,22.5123,pca,8.8723,13.64,7.320259852064975,1.552040147935024
GCN,27.1728,pca,4.2691,22.9037,6.59810983296742,-2.3290098329674205
KRR,6.0429,none,6.0429,0.0,1.8990228947505947,4.1438771052494054
LightGBM,4.539,vif,3.7743,0.7646999999999995,2.4173727406517345,1.3569272593482657
Mamba,9.9243,vif,8.9798,0.9445000000000014,3.2867187113440446,5.6930812886559545
N-BEATS,3.7179,vif,3.2994,0.4185000000000003,3.715678477154441,-0.416278477154441
N-HiTS,11.4095,pca,2.448,8.9615,2.1928424356928558,0.2551575643071442
NegBinGLM,1.563,none,1.563,0.0,,
OverseasTransfer,31.1167,pca,5.559,25.5577,4.156242337154302,1.4027576628456986
PatchTST,9.1799,corr,8.0338,1.1461000000000006,12.071380308887306,-4.037580308887307
PoissonAutoreg,2.0035,vif,1.4655,0.5379999999999998,,
RandomForest,2.4464,none,2.4464,0.0,2.2675463662664,0.17885363373359997
SARIMA,2.1698,none,2.1698,0.0,,
SARIMAX,7.0769,corr,6.7428,0.3341000000000003,,
SVR-Linear,2.3755,pca,2.3233,0.052200000000000024,5.05111293207169,-2.7278129320716897
SVR-RBF,2.0621,vif,1.6658,0.3963000000000001,1.686522647334311,-0.02072264733431095
TCN,27.9682,vif,8.762,19.2062,8.579922404160689,0.1820775958393117
TabPFN,4.2983,vif,4.052,0.24630000000000063,2.4600739812031063,1.5919260187968933
Theta,2.177,none,2.177,0.0,,
TiDE,11.1857,corr,10.3992,0.7865000000000002,5.3439200021247215,5.055279997875279
TimesNet,5.1376,none,5.1376,0.0,4.692766164395096,0.4448338356049035
Wallinga-Teunis,22.4934,none,22.4934,0.0,,
XGBoost,6.0407,pca,5.1835,0.8571999999999997,5.737758838457662,-0.5542588384576614
hhh4-equivalent,14.7366,pca,2.0423,12.694299999999998,,
iTransformer,11.2962,vif,9.193,2.103200000000001,5.074830980964612,4.1181690190353875
