"[A]자치구별","자치구별","[B]감염병별","감염병별","[C]성별","성별","[Item]항목","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년",
"001","서울시","001","제1급감염병","001001","발생","T001","법정감염병 발생현황","건","18996","206204","-","-","-",
"001","서울시","001","제1급감염병","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001","제1급감염병","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001","제1급감염병","001002","사망","T001","법정감염병 발생현황","건","183","1748","-","-","-",
"001","서울시","001","제1급감염병","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001","제1급감염병","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001003","에볼라바이러스병","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001003","에볼라바이러스병","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001003","에볼라바이러스병","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001003","에볼라바이러스병","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001003","에볼라바이러스병","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001003","에볼라바이러스병","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001004","마버그열","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001004","마버그열","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001004","마버그열","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001004","마버그열","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001004","마버그열","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001004","마버그열","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001005","라싸열","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001005","라싸열","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001005","라싸열","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001005","라싸열","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001005","라싸열","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001005","라싸열","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001006","크리미안콩고출혈열","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001006","크리미안콩고출혈열","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001006","크리미안콩고출혈열","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001006","크리미안콩고출혈열","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001006","크리미안콩고출혈열","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001006","크리미안콩고출혈열","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001007","남아메리카출혈열","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001007","남아메리카출혈열","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001007","남아메리카출혈열","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001007","남아메리카출혈열","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001007","남아메리카출혈열","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001007","남아메리카출혈열","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001008","리프트밸리열","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001008","리프트밸리열","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001008","리프트밸리열","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001008","리프트밸리열","001002","사망","T001","법정감염병 발생현황","건","-","","-","-","-",
"001","서울시","001008","리프트밸리열","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001008","리프트밸리열","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001009","두창","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001009","두창","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001009","두창","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001009","두창","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001009","두창","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001009","두창","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001010","페스트","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001010","페스트","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001010","페스트","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001010","페스트","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001010","페스트","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001010","페스트","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001011","탄저","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001011","탄저","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001011","탄저","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001011","탄저","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001011","탄저","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001011","탄저","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001002","보툴리늄독소증","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001002","보툴리늄독소증","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001002","보툴리늄독소증","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001002","보툴리늄독소증","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001002","보툴리늄독소증","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001002","보툴리늄독소증","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001012","야토병","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001012","야토병","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001012","야토병","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001012","야토병","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001012","야토병","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001012","야토병","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001001","신종감염병증후군","001001","발생","T001","법정감염병 발생현황","건","18996","206204","","","",
"001","서울시","001001","신종감염병증후군","001002","사망","T001","법정감염병 발생현황","건","183","1748","","","",
"001","서울시","001013","중증급성호흡기증후군(SARS)","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001013","중증급성호흡기증후군(SARS)","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001013","중증급성호흡기증후군(SARS)","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001013","중증급성호흡기증후군(SARS)","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001013","중증급성호흡기증후군(SARS)","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001013","중증급성호흡기증후군(SARS)","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001014","중동호흡기증후군(MERS)","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001014","중동호흡기증후군(MERS)","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001014","중동호흡기증후군(MERS)","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001014","중동호흡기증후군(MERS)","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001014","중동호흡기증후군(MERS)","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001014","중동호흡기증후군(MERS)","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001015","동물인플루엔자 인체감염증","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001015","동물인플루엔자 인체감염증","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001015","동물인플루엔자 인체감염증","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001015","동물인플루엔자 인체감염증","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001015","동물인플루엔자 인체감염증","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001015","동물인플루엔자 인체감염증","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001016","신종인플루엔자","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001016","신종인플루엔자","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001016","신종인플루엔자","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001016","신종인플루엔자","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001016","신종인플루엔자","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001016","신종인플루엔자","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001017","디프테리아","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001017","디프테리아","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001017","디프테리아","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001017","디프테리아","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001017","디프테리아","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001017","디프테리아","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
