Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-12,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-19,KR,Republic of Korea,WPRO,1,1,0,0
2020-01-26,KR,Republic of Korea,WPRO,2,3,0,0
2020-02-02,KR,Republic of Korea,WPRO,12,15,0,0
2020-02-09,KR,Republic of Korea,WPRO,12,27,0,0
2020-02-16,KR,Republic of Korea,WPRO,3,30,0,0
2020-02-23,KR,Republic of Korea,WPRO,526,556,3,3
2020-03-01,KR,Republic of Korea,WPRO,2970,3526,14,17
2020-03-08,KR,Republic of Korea,WPRO,3608,7134,33,50
2020-03-15,KR,Republic of Korea,WPRO,1028,8162,25,75
2020-03-22,KR,Republic of Korea,WPRO,735,8897,29,104
2020-03-29,KR,Republic of Korea,WPRO,686,9583,48,152
2020-04-05,KR,Republic of Korea,WPRO,654,10237,31,183
2020-04-12,KR,Republic of Korea,WPRO,275,10512,31,214
2020-04-19,KR,Republic of Korea,WPRO,149,10661,20,234
2020-04-26,KR,Republic of Korea,WPRO,67,10728,8,242
2020-05-03,KR,Republic of Korea,WPRO,65,10793,8,250
2020-05-10,KR,Republic of Korea,WPRO,81,10874,6,256
2020-05-17,KR,Republic of Korea,WPRO,176,11050,6,262
2020-05-24,KR,Republic of Korea,WPRO,140,11190,4,266
2020-05-31,KR,Republic of Korea,WPRO,278,11468,4,270
2020-06-07,KR,Republic of Korea,WPRO,308,11776,3,273
2020-06-14,KR,Republic of Korea,WPRO,308,12084,4,277
2020-06-21,KR,Republic of Korea,WPRO,337,12421,3,280
2020-06-28,KR,Republic of Korea,WPRO,294,12715,2,282
2020-07-05,KR,Republic of Korea,WPRO,374,13089,1,283
2020-07-12,KR,Republic of Korea,WPRO,328,13417,6,289
2020-07-19,KR,Republic of Korea,WPRO,328,13745,6,295
2020-07-26,KR,Republic of Korea,WPRO,405,14150,3,298
2020-08-02,KR,Republic of Korea,WPRO,216,14366,3,301
2020-08-09,KR,Republic of Korea,WPRO,232,14598,4,305
2020-08-16,KR,Republic of Korea,WPRO,720,15318,0,305
2020-08-23,KR,Republic of Korea,WPRO,2081,17399,4,309
2020-08-30,KR,Republic of Korea,WPRO,2300,19699,14,323
2020-09-06,KR,Republic of Korea,WPRO,1478,21177,11,334
2020-09-13,KR,Republic of Korea,WPRO,999,22176,24,358
2020-09-20,KR,Republic of Korea,WPRO,799,22975,25,383
2020-09-27,KR,Republic of Korea,WPRO,636,23611,18,401
2020-10-04,KR,Republic of Korea,WPRO,480,24091,20,421
2020-10-11,KR,Republic of Korea,WPRO,515,24606,11,432
2020-10-18,KR,Republic of Korea,WPRO,593,25199,12,444
2020-10-25,KR,Republic of Korea,WPRO,637,25836,13,457
2020-11-01,KR,Republic of Korea,WPRO,799,26635,9,466
2020-11-08,KR,Republic of Korea,WPRO,791,27426,12,478
2020-11-15,KR,Republic of Korea,WPRO,1118,28544,15,493
2020-11-22,KR,Republic of Korea,WPRO,2126,30670,12,505
2020-11-29,KR,Republic of Korea,WPRO,3091,33761,18,523
2020-12-06,KR,Republic of Korea,WPRO,3776,37537,22,545
2020-12-13,KR,Republic of Korea,WPRO,5221,42758,35,580
2020-12-20,KR,Republic of Korea,WPRO,6896,49654,94,674
2020-12-27,KR,Republic of Korea,WPRO,7201,56855,134,808
2021-01-03,KR,Republic of Korea,WPRO,7396,64251,154,962
2021-01-10,KR,Republic of Korea,WPRO,4844,69095,163,1125
2021-01-17,KR,Republic of Korea,WPRO,3623,72718,124,1249
2021-01-24,KR,Republic of Korea,WPRO,2796,75514,100,1349
2021-01-31,KR,Republic of Korea,WPRO,2989,78503,71,1420
2021-02-07,KR,Republic of Korea,WPRO,2673,81176,51,1471
2021-02-14,KR,Republic of Korea,WPRO,2685,83861,51,1522
2021-02-21,KR,Republic of Korea,WPRO,3456,87317,35,1557
2021-02-28,KR,Republic of Korea,WPRO,2703,90020,46,1603
2021-03-07,KR,Republic of Korea,WPRO,2790,92810,31,1634
2021-03-14,KR,Republic of Korea,WPRO,3197,96007,35,1669
2021-03-21,KR,Republic of Korea,WPRO,3058,99065,27,1696
2021-03-28,KR,Republic of Korea,WPRO,3062,102127,26,1722
2021-04-04,KR,Republic of Korea,WPRO,3620,105747,22,1744
2021-04-11,KR,Republic of Korea,WPRO,4394,110141,24,1768
2021-04-18,KR,Republic of Korea,WPRO,4505,114646,29,1797
2021-04-25,KR,Republic of Korea,WPRO,4732,119378,16,1813
2021-05-02,KR,Republic of Korea,WPRO,4342,123720,21,1834
2021-05-09,KR,Republic of Korea,WPRO,4044,127764,41,1875
2021-05-16,KR,Republic of Korea,WPRO,4516,132280,28,1903
2021-05-23,KR,Republic of Korea,WPRO,4178,136458,31,1934
2021-05-30,KR,Republic of Korea,WPRO,3880,140338,25,1959
2021-06-06,KR,Republic of Korea,WPRO,4297,144635,15,1974
2021-06-13,KR,Republic of Korea,WPRO,3638,148273,14,1988
2021-06-20,KR,Republic of Korea,WPRO,3233,151506,16,2004
2021-06-27,KR,Republic of Korea,WPRO,4066,155572,11,2015
2021-07-04,KR,Republic of Korea,WPRO,5223,160795,13,2028
2021-07-11,KR,Republic of Korea,WPRO,8351,169146,16,2044
2021-07-18,KR,Republic of Korea,WPRO,10057,179203,14,2058
2021-07-25,KR,Republic of Korea,WPRO,10963,190166,19,2077
2021-08-01,KR,Republic of Korea,WPRO,10835,201001,22,2099
2021-08-08,KR,Republic of Korea,WPRO,11446,212447,26,2125
2021-08-15,KR,Republic of Korea,WPRO,13034,225481,42,2167
2021-08-22,KR,Republic of Korea,WPRO,12297,237778,55,2222
2021-08-29,KR,Republic of Korea,WPRO,12271,250049,62,2284
2021-09-05,KR,Republic of Korea,WPRO,11728,261777,43,2327
2021-09-12,KR,Republic of Korea,WPRO,12636,274413,33,2360
2021-09-19,KR,Republic of Korea,WPRO,13121,287534,49,2409
2021-09-26,KR,Republic of Korea,WPRO,16019,303553,47,2456
2021-10-03,KR,Republic of Korea,WPRO,16224,319777,57,2513
2021-10-10,KR,Republic of Korea,WPRO,13039,332816,70,2583
2021-10-17,KR,Republic of Korea,WPRO,10629,343445,85,2668
2021-10-24,KR,Republic of Korea,WPRO,9644,353089,105,2773
2021-10-31,KR,Republic of Korea,WPRO,13296,366385,86,2859
2021-11-07,KR,Republic of Korea,WPRO,15307,381692,121,2980
2021-11-14,KR,Republic of Korea,WPRO,15774,397466,135,3115
2021-11-21,KR,Republic of Korea,WPRO,20785,418251,183,3298
2021-11-28,KR,Republic of Korea,WPRO,25947,444198,282,3580
2021-12-05,KR,Republic of Korea,WPRO,33158,477356,313,3893
2021-12-12,KR,Republic of Korea,WPRO,45729,523085,400,4293
2021-12-19,KR,Republic of Korea,WPRO,47328,570413,483,4776
2021-12-26,KR,Republic of Korea,WPRO,41254,611667,524,5300
2022-01-02,KR,Republic of Korea,WPRO,30535,642202,430,5730
2022-01-09,KR,Republic of Korea,WPRO,25184,667386,341,6071
2022-01-16,KR,Republic of Korea,WPRO,28644,696030,262,6333
2022-01-23,KR,Republic of Korea,WPRO,45378,741408,232,6565
2022-01-30,KR,Republic of Korea,WPRO,104291,845699,190,6755
2022-02-06,KR,Republic of Korea,WPRO,199263,1044962,131,6886
2022-02-13,KR,Republic of Korea,WPRO,360282,1405244,216,7102
2022-02-20,KR,Republic of Korea,WPRO,652917,2058161,348,7450
2022-02-27,KR,Republic of Korea,WPRO,1076295,3134456,608,8058
2022-03-06,KR,Republic of Korea,WPRO,1532514,4666970,1038,9096
2022-03-13,KR,Republic of Korea,WPRO,2199242,6866212,1499,10595
2022-03-20,KR,Republic of Korea,WPRO,2716348,9582560,2162,12757
2022-03-27,KR,Republic of Korea,WPRO,2420314,12002874,2429,15186
2022-04-03,KR,Republic of Korea,WPRO,1998392,14001266,2267,17453
2022-04-10,KR,Republic of Korea,WPRO,1423253,15424519,2226,19679
2022-04-17,KR,Republic of Korea,WPRO,928917,16353436,1545,21224
2022-04-24,KR,Republic of Korea,WPRO,576068,16929504,1019,22243
2022-05-01,KR,Republic of Korea,WPRO,366118,17295622,715,22958
2022-05-08,KR,Republic of Korea,WPRO,269340,17564962,442,23400
2022-05-15,KR,Republic of Korea,WPRO,230350,17795312,344,23744
