location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
South Korea,KOR,2021-02-26,50357,39176,11394,2,,,0.1,0.08,0.02,0.0,,,
South Korea,KOR,2021-02-27,52325,40922,11615,2,1968,1968,0.1,0.08,0.02,0.0,38,1746,0.003
South Korea,KOR,2021-02-28,53465,41948,11723,2,1140,1554,0.1,0.08,0.02,0.0,30,1386,0.003
South Korea,KOR,2021-03-01,55673,43876,11992,2,2208,1772,0.11,0.08,0.02,0.0,34,1567,0.003
South Korea,KOR,2021-03-02,122214,108696,12303,3,66541,17964,0.24,0.21,0.02,0.0,347,17380,0.034
South Korea,KOR,2021-03-03,191926,176833,12632,3,69712,28314,0.37,0.34,0.02,0.0,546,27531,0.053
South Korea,KOR,2021-03-04,263150,246872,13154,3,71224,35466,0.51,0.48,0.03,0.0,684,34616,0.067
South Korea,KOR,2021-03-05,334741,317804,13577,3,71591,40626,0.65,0.61,0.03,0.0,784,39804,0.077
South Korea,KOR,2021-03-06,353363,336281,13742,3,18622,43005,0.68,0.65,0.03,0.0,830,42194,0.081
South Korea,KOR,2021-03-07,355881,338726,13848,3,2518,43202,0.69,0.65,0.03,0.0,834,42397,0.082
South Korea,KOR,2021-03-08,424232,406588,14120,3,68351,52651,0.82,0.78,0.03,0.0,1016,51816,0.1
South Korea,KOR,2021-03-09,488978,470674,14599,3,64746,52395,0.94,0.91,0.03,0.0,1011,51711,0.1
South Korea,KOR,2021-03-10,544320,525569,15180,3,55342,50342,1.05,1.01,0.03,0.0,972,49819,0.096
South Korea,KOR,2021-03-11,590210,570964,15850,3,45890,46723,1.14,1.1,0.03,0.0,902,46299,0.089
South Korea,KOR,2021-03-12,629765,610152,16451,3,39555,42146,1.22,1.18,0.03,0.0,813,41764,0.081
South Korea,KOR,2021-03-13,634422,614674,16668,3,4657,40151,1.22,1.19,0.03,0.0,775,39770,0.077
South Korea,KOR,2021-03-14,636313,616490,16811,3,1891,40062,1.23,1.19,0.03,0.0,773,39681,0.077
South Korea,KOR,2021-03-15,650798,630679,18005,3,14485,32367,1.26,1.22,0.03,0.0,625,32013,0.062
South Korea,KOR,2021-03-16,671680,651208,19055,3,20882,26100,1.3,1.26,0.04,0.0,504,25791,0.05
South Korea,KOR,2021-03-17,693429,672627,19981,3,21749,21301,1.34,1.3,0.04,0.0,411,21008,0.041
South Korea,KOR,2021-03-18,714736,693403,20895,3,21307,17789,1.38,1.34,0.04,0.0,343,17491,0.034
South Korea,KOR,2021-03-19,733746,711991,21922,3,19010,14854,1.42,1.37,0.04,0.0,287,14548,0.028
South Korea,KOR,2021-03-20,736255,714009,22469,3,2509,14548,1.42,1.38,0.04,0.0,281,14191,0.027
South Korea,KOR,2021-03-21,737520,714866,22926,3,1265,14458,1.42,1.38,0.04,0.0,279,14054,0.027
South Korea,KOR,2021-03-22,743059,719752,23706,3,5539,13180,1.43,1.39,0.05,0.0,254,12725,0.025
South Korea,KOR,2021-03-23,765805,738358,25028,3,22746,13446,1.48,1.42,0.05,0.0,259,12450,0.024
South Korea,KOR,2021-03-24,796872,763131,26674,3,31067,14778,1.54,1.47,0.05,0.0,285,12929,0.025
South Korea,KOR,2021-03-25,832446,792394,28664,3,35574,16816,1.61,1.53,0.06,0.0,325,14142,0.027
South Korea,KOR,2021-03-26,860163,816554,30796,3,27717,18060,1.66,1.58,0.06,0.0,349,14938,0.029
South Korea,KOR,2021-03-27,863048,819027,31201,3,2885,18113,1.67,1.58,0.06,0.0,350,15003,0.029
South Korea,KOR,2021-03-28,864185,819921,31465,3,1137,18095,1.67,1.58,0.06,0.0,349,15008,0.029
South Korea,KOR,2021-03-29,892426,841377,32934,3,28241,21338,1.72,1.62,0.06,0.0,412,17375,0.034
South Korea,KOR,2021-03-30,924008,864751,35724,3,31582,22600,1.78,1.67,0.07,0.0,436,18056,0.035
South Korea,KOR,2021-03-31,953407,884446,41180,3,29399,22362,1.84,1.71,0.08,0.0,432,17331,0.033
South Korea,KOR,2021-04-01,999498,918362,49231,3,46091,23865,1.93,1.77,0.1,0.0,461,17995,0.035
South Korea,KOR,2021-04-02,1047447,956296,56961,3,47949,26755,2.02,1.85,0.11,0.0,516,19963,0.039
South Korea,KOR,2021-04-03,1058021,965539,57964,3,10574,27853,2.04,1.86,0.11,0.0,538,20930,0.04
South Korea,KOR,2021-04-04,1059560,966806,58273,4,1539,27911,2.04,1.87,0.11,0.0,539,20984,0.04
South Korea,KOR,2021-04-05,1098358,1001144,60065,4,38798,29419,2.12,1.93,0.12,0.0,568,22824,0.044
South Korea,KOR,2021-04-06,1145113,1037120,67641,4,46755,31586,2.21,2.0,0.13,0.0,610,24624,0.048
South Korea,KOR,2021-04-07,1194751,1073092,78972,4,49638,34478,2.31,2.07,0.15,0.0,665,26949,0.052
South Korea,KOR,2021-04-08,1245002,1109421,90991,4,50251,35072,2.4,2.14,0.18,0.0,677,27294,0.053
South Korea,KOR,2021-04-09,1289870,1143426,100927,4,44868,34632,2.49,2.21,0.19,0.0,668,26733,0.052
South Korea,KOR,2021-04-10,1302157,1153618,103270,5,12287,34877,2.51,2.23,0.2,0.0,673,26868,0.052
South Korea,KOR,2021-04-11,1303855,1154906,103776,5,1698,34899,2.52,2.23,0.2,0.0,674,26871,0.052
South Korea,KOR,2021-04-12,1345411,1192831,106312,5,41556,35293,2.6,2.3,0.21,0.0,681,27384,0.053
South Korea,KOR,2021-04-13,1392364,1235645,108168,5,46953,35322,2.69,2.38,0.21,0.0,682,28361,0.055
South Korea,KOR,2021-04-14,1440688,1279952,109226,5,48324,35134,2.78,2.47,0.21,0.0,678,29551,0.057
South Korea,KOR,2021-04-15,1535907,1368601,110225,5,95219,41558,2.96,2.64,0.21,0.0,802,37026,0.071
South Korea,KOR,2021-04-16,1641438,1467872,111598,5,105531,50224,3.17,2.83,0.22,0.0,969,46349,0.089
South Korea,KOR,2021-04-17,1672687,1496989,112332,5,31249,52933,3.23,2.89,0.22,0.0,1022,49053,0.095
South Korea,KOR,2021-04-18,1678810,1502510,112787,5,6123,53565,3.24,2.9,0.22,0.0,1034,49658,0.096
South Korea,KOR,2021-04-19,1802940,1620774,113746,5,124130,65361,3.48,3.13,0.22,0.0,1261,61135,0.118
South Korea,KOR,2021-04-20,1935808,1747278,114998,5,132868,77635,3.74,3.37,0.22,0.0,1498,73090,0.141
South Korea,KOR,2021-04-21,2070713,1875601,116527,5,134905,90004,4.0,3.62,0.22,0.0,1737,85093,0.164
South Korea,KOR,2021-04-22,2223238,2003703,135011,5,152525,98190,4.29,3.87,0.26,0.0,1895,90729,0.175
South Korea,KOR,2021-04-23,2404847,2160210,154711,5,181609,109058,4.64,4.17,0.3,0.0,2105,98905,0.191
South Korea,KOR,2021-04-24,2477547,2224700,161141,5,72700,114980,4.78,4.29,0.31,0.0,2219,103959,0.201
South Korea,KOR,2021-04-25,2485750,2231751,162125,5,8203,115277,4.8,4.31,0.31,0.0,2225,104177,0.201
