yyyymm,arrivals_persons,source_tbl
201501,917054,DT_TGT_ENT_AGG_MONTH
201502,1050706,DT_TGT_ENT_AGG_MONTH
201503,1238144,DT_TGT_ENT_AGG_MONTH
201504,1384567,DT_TGT_ENT_AGG_MONTH
201505,1334212,DT_TGT_ENT_AGG_MONTH
201506,750925,DT_TGT_ENT_AGG_MONTH
201507,629737,DT_TGT_ENT_AGG_MONTH
201508,1069314,DT_TGT_ENT_AGG_MONTH
201509,1206764,DT_TGT_ENT_AGG_MONTH
201510,1383704,DT_TGT_ENT_AGG_MONTH
201511,1150074,DT_TGT_ENT_AGG_MONTH
201512,1116450,DT_TGT_ENT_AGG_MONTH
201601,1077431,DT_TGT_ENT_AGG_MONTH
201602,1126250,DT_TGT_ENT_AGG_MONTH
201603,1389399,DT_TGT_ENT_AGG_MONTH
201604,1469674,DT_TGT_ENT_AGG_MONTH
201605,1492680,DT_TGT_ENT_AGG_MONTH
201606,1554413,DT_TGT_ENT_AGG_MONTH
201607,1703495,DT_TGT_ENT_AGG_MONTH
201608,1664303,DT_TGT_ENT_AGG_MONTH
201609,1523928,DT_TGT_ENT_AGG_MONTH
201610,1587797,DT_TGT_ENT_AGG_MONTH
201611,1309055,DT_TGT_ENT_AGG_MONTH
201612,1343398,DT_TGT_ENT_AGG_MONTH
201701,1220695,DT_TGT_ENT_AGG_MONTH
201702,1252080,DT_TGT_ENT_AGG_MONTH
201703,1233640,DT_TGT_ENT_AGG_MONTH
201704,1075899,DT_TGT_ENT_AGG_MONTH
201705,977889,DT_TGT_ENT_AGG_MONTH
201706,991802,DT_TGT_ENT_AGG_MONTH
201707,1008671,DT_TGT_ENT_AGG_MONTH
201708,1103506,DT_TGT_ENT_AGG_MONTH
201709,1078653,DT_TGT_ENT_AGG_MONTH
201710,1165638,DT_TGT_ENT_AGG_MONTH
201711,1093217,DT_TGT_ENT_AGG_MONTH
201712,1134068,DT_TGT_ENT_AGG_MONTH
201801,956036,DT_TGT_ENT_AGG_MONTH
201802,1045415,DT_TGT_ENT_AGG_MONTH
201803,1366100,DT_TGT_ENT_AGG_MONTH
201804,1331709,DT_TGT_ENT_AGG_MONTH
201805,1238021,DT_TGT_ENT_AGG_MONTH
201806,1282093,DT_TGT_ENT_AGG_MONTH
201807,1254833,DT_TGT_ENT_AGG_MONTH
201808,1391727,DT_TGT_ENT_AGG_MONTH
201809,1278604,DT_TGT_ENT_AGG_MONTH
201810,1527832,DT_TGT_ENT_AGG_MONTH
201811,1350390,DT_TGT_ENT_AGG_MONTH
201812,1324119,DT_TGT_ENT_AGG_MONTH
201901,1104803,DT_TGT_ENT_AGG_MONTH
201902,1201802,DT_TGT_ENT_AGG_MONTH
201903,1535641,DT_TGT_ENT_AGG_MONTH
201904,1635066,DT_TGT_ENT_AGG_MONTH
201905,1485684,DT_TGT_ENT_AGG_MONTH
201906,1476218,DT_TGT_ENT_AGG_MONTH
201907,1448067,DT_TGT_ENT_AGG_MONTH
201908,1586299,DT_TGT_ENT_AGG_MONTH
201909,1459664,DT_TGT_ENT_AGG_MONTH
201910,1656195,DT_TGT_ENT_AGG_MONTH
201911,1456429,DT_TGT_ENT_AGG_MONTH
201912,1456888,DT_TGT_ENT_AGG_MONTH
202001,1272708,DT_TGT_ENT_AGG_MONTH
202002,685212,DT_TGT_ENT_AGG_MONTH
202003,83497,DT_TGT_ENT_AGG_MONTH
202004,29415,DT_TGT_ENT_AGG_MONTH
202005,30806,DT_TGT_ENT_AGG_MONTH
202006,36938,DT_TGT_ENT_AGG_MONTH
202007,61012,DT_TGT_ENT_AGG_MONTH
202008,68797,DT_TGT_ENT_AGG_MONTH
202009,65040,DT_TGT_ENT_AGG_MONTH
202010,61585,DT_TGT_ENT_AGG_MONTH
202011,61764,DT_TGT_ENT_AGG_MONTH
202012,62344,DT_TGT_ENT_AGG_MONTH
202101,58397,DT_TGT_ENT_AGG_MONTH
202102,65582,DT_TGT_ENT_AGG_MONTH
202103,74604,DT_TGT_ENT_AGG_MONTH
202104,70112,DT_TGT_ENT_AGG_MONTH
202105,74463,DT_TGT_ENT_AGG_MONTH
202106,77029,DT_TGT_ENT_AGG_MONTH
202107,83005,DT_TGT_ENT_AGG_MONTH
202108,97087,DT_TGT_ENT_AGG_MONTH
202109,89800,DT_TGT_ENT_AGG_MONTH
202110,92416,DT_TGT_ENT_AGG_MONTH
202111,94358,DT_TGT_ENT_AGG_MONTH
202112,90150,DT_TGT_ENT_AGG_MONTH
202201,81851,DT_TRD_TGT_ENT_AGG_MONTH
202202,99999,DT_TRD_TGT_ENT_AGG_MONTH
202203,96768,DT_TRD_TGT_ENT_AGG_MONTH
202204,127919,DT_TRD_TGT_ENT_AGG_MONTH
202205,175922,DT_TRD_TGT_ENT_AGG_MONTH
202206,227713,DT_TRD_TGT_ENT_AGG_MONTH
202207,263986,DT_TRD_TGT_ENT_AGG_MONTH
202208,310945,DT_TRD_TGT_ENT_AGG_MONTH
202209,337638,DT_TRD_TGT_ENT_AGG_MONTH
202210,476097,DT_TRD_TGT_ENT_AGG_MONTH
202211,459906,DT_TRD_TGT_ENT_AGG_MONTH
202212,539273,DT_TRD_TGT_ENT_AGG_MONTH
202301,434429,DT_TRD_TGT_ENT_AGG_MONTH
