gu,day_livpop_density,n_agents,attack_rate,weight
종로구,385099.0,3467,9.506641e-02,1.0951
중구,410368.7,3688,9.465082e-02,1.0903
용산구,330042.3,2986,9.184901e-02,1.0581
성동구,371832.2,3351,7.428785e-02,0.8558
광진구,372629.3,3358,8.989137e-02,1.0355
동대문구,373235.5,3364,6.716410e-02,0.7737
중랑구,324965.1,2942,9.527266e-02,1.0975
성북구,413968.7,3720,9.555594e-02,1.1008
강북구,270749.8,2468,9.554281e-02,1.1006
도봉구,255375.6,2333,9.546382e-02,1.0997
노원구,473746.5,4243,9.524354e-02,1.0972
은평구,397550.8,3576,9.504531e-02,1.0949
서대문구,399776.9,3596,7.158271e-02,0.8246
마포구,504596.0,4512,8.688587e-02,1.0009
양천구,361220.9,3259,9.578249e-02,1.1034
강서구,537990.3,4804,7.127050e-02,0.8210
구로구,413438.4,3715,6.510117e-02,0.7499
금천구,251118.7,2296,7.862660e-02,0.9058
영등포구,563201.7,5025,9.481051e-02,1.0922
동작구,374103.4,3371,9.576178e-02,1.1031
관악구,449008.7,4026,9.524297e-02,1.0972
서초구,674980.1,6002,9.527829e-02,1.0976
강남구,995669.8,8806,9.546072e-02,1.0997
송파구,765038.5,6790,4.417043e-02,0.5088
강동구,480557.3,4302,9.519934e-02,1.0967
