name,category,val_r2,val_rmse,test_r2,test_rmse,test_mae,test_mape,test_smape,ar_r2,ar_rmse,elapsed_s
TiRex,dl,0.7767,0.8732,0.9374,6.5036,3.8783,15.36,16.17,,,15.05
CQR-QuantReg,linear,-0.2545,2.0699,0.9359,6.5788,4.1326,23.63,19.34,,,15.05
NegBinGLM,epi,0.3256,1.5177,0.9274,7.0029,4.2556,20.2,18.85,,,15.05
Ensemble-SelectiveBMA,meta,0.7772,0.8722,0.9271,7.0162,4.4459,18.89,18.99,,,0.0
Ensemble-ResidualAR,meta,0.7805,0.8658,0.9269,7.028,4.4623,19.09,19.38,,,0.0
DNN-Conformal,dl,0.5308,1.2658,0.9255,7.0945,4.2664,19.95,19.45,,,15.06
ARIMA,ts,0.4325,1.3922,0.9252,7.1097,4.2717,19.78,20.24,,,15.06
BayesianRidge,epi,0.3124,1.5324,0.9242,7.1558,4.371,20.65,19.19,,,15.05
TimesFM-2.5,dl,0.7472,0.9292,0.924,7.1653,4.4421,16.54,17.99,,,15.06
KRR,linear,0.3097,1.5354,0.9235,7.1883,4.3945,20.74,19.26,,,15.04
BayesianMCMC,epi,0.3352,1.5068,0.9227,7.2237,4.3549,20.2,18.7,,,15.05
SARIMAX,ts,-0.0343,1.8795,0.9165,7.509,4.7185,24.67,24.77,,,15.04
TabPFN,dl,0.2457,1.6051,0.9116,7.7278,4.862,19.9,18.54,,,15.05
DLinear,dl,-0.0015,1.8494,0.9085,7.8617,5.2204,26.82,27.91,,,15.05
PoissonAutoreg,epi,0.6373,1.113,0.9073,7.9134,4.5743,18.97,17.91,,,15.05
Ensemble-NNLS,meta,0.7625,0.9006,0.9051,8.0044,4.6406,17.23,17.39,,,0.0
Ensemble-NNLS-Filtered,meta,0.7636,0.8986,0.905,8.0096,4.6448,17.24,17.39,,,0.0
Ensemble-BMA,meta,0.6587,1.0796,0.9019,8.139,4.659,16.53,16.66,,,0.0
SVR-Linear,linear,0.6538,1.0873,0.9009,8.1812,4.6842,16.63,16.76,,,15.05
SARIMA,ts,-1.2039,2.7435,0.8984,8.2832,5.962,30.27,32.53,,,15.06
ElasticNet,linear,0.5811,1.1961,0.8764,9.1371,5.2949,21.03,20.15,,,15.05
Theta,ts,0.0233,1.8264,0.8605,9.7064,5.7728,20.05,19.51,,,15.05
Ensemble-InvRMSE,meta,0.6747,1.054,0.8545,9.9118,6.0675,23.67,22.85,,,0.0
Ensemble-Temporal,meta,0.6801,1.0452,0.8512,10.0258,6.1372,23.71,22.97,,,0.0
Ensemble-Diversity,meta,0.6764,1.0512,0.8509,10.0367,6.1257,23.47,22.82,,,0.0
RandomForest,tree,0.4081,1.4218,0.754,12.8889,7.7792,21.85,23.16,,,15.05
Mamba,dl,-2.9299,3.6635,0.7205,13.7408,9.1771,41.41,43.95,,,105.15
DNN,dl,-0.2338,2.0527,0.706,14.0926,8.7692,32.12,31.76,,,30.05
Ensemble-Adaptive,meta,0.787,0.8529,0.6963,14.3222,10.5101,52.9,42.32,,,0.0
XGBoost,tree,-0.9892,2.6064,0.6926,14.4087,9.0275,27.79,28.47,,,15.15
EpiEstim,epi,0.6068,1.1588,0.6891,14.4919,8.8588,33.24,31.08,,,15.05
CQR-LightGBM,tree,-15.0225,7.3973,0.6693,14.9446,10.4757,61.24,45.6,,,15.05
Wallinga-Teunis,epi,0.6415,1.1066,0.667,14.9979,8.8957,30.87,32.85,,,15.05
GAT,dl,-3.4313,3.8903,0.654,15.288,9.9058,43.75,39.6,,,57.7
OverseasTransfer,dl,-0.037,1.8819,0.6412,15.5678,8.7011,24.33,29.8,,,60.19
LightGBM,tree,-0.8839,2.5366,0.6168,16.0889,9.8971,29.19,31.25,,,15.04
GAM-Spline,epi,0.2873,1.5601,0.5959,16.5203,9.5082,30.58,31.01,,,15.05
TimesNet,dl,-0.0883,1.9279,0.5863,16.715,9.98,27.12,29.61,,,130.33
PatchTST,dl,-0.8824,2.5355,0.5138,18.1212,10.9657,30.64,34.44,,,60.07
TCN,dl,-0.8342,2.5028,0.374,20.5629,12.6401,49.73,49.21,,,45.07
iTransformer,dl,-1.9586,3.1787,0.0181,25.7522,16.3429,49.26,64.16,,,75.07
Ensemble-Stacking,meta,-82.7925,16.9166,-0.0194,26.2397,21.2521,140.3,82.01,,,0.0
Ensemble-Blending,meta,-82.7925,16.9166,-0.0194,26.2397,21.2521,140.3,82.01,,,0.0
SVR-RBF,linear,-1.5707,2.9631,-0.5019,31.85,20.95,54.46,83.48,,,15.04
TiDE,dl,-2.8248,3.6142,-0.5121,31.9573,22.0944,76.01,104.51,,,15.11
N-HiTS,dl,-10.1905,6.1821,-1.0263,36.9947,26.4277,87.75,154.73,,,15.04
N-BEATS,dl,-11.3402,6.4919,-1.1414,38.0304,27.8113,98.42,191.0,,,30.06
hhh4-equivalent,epi,0.7205,0.977,-3.5574,55.4812,44.1396,243.74,162.96,,,15.05
