name,MAE,RMSE,MAPE,SMAPE
TiDE,22.4817,31.7024,93.1633,178.4209
iTransformer,20.3019,29.2327,105.8804,98.8433
SVR-Linear,25.4160,34.6159,124.7359,123.2682
TCN,22.9190,29.9348,137.9459,91.9951
TimesNet,20.0173,23.6315,158.1759,78.2872
GAT,27.9497,35.1407,173.3429,109.3205
DNN,26.5334,34.3762,175.6691,97.5513
DNN-Conformal,28.2125,34.6975,194.1978,113.9315
PatchTST,27.8441,33.9345,194.6851,110.4251
BayesianRidge,30.5860,41.0855,196.7712,107.6793
OverseasTransfer,28.8229,35.6520,200.9635,109.7952
hhh4-equivalent,29.0083,35.7738,201.4886,110.7902
XGBoost,27.4800,33.1039,204.4655,109.8912
GCN,31.6672,42.0912,204.7743,117.3377
NegBinGLM,29.2865,36.0885,206.6616,111.5988
CQR-QuantReg,30.4913,37.5187,207.3179,123.8289
BayesianMCMC,29.0267,35.2693,212.2477,112.0171
LightGBM,27.9652,33.5275,212.3254,109.9624
CQR-LightGBM,28.4771,34.5119,212.7852,111.7127
SVR-RBF,28.5099,34.3396,214.6006,110.6971
GAM-Spline,27.5458,34.2604,214.7772,107.8457
KRR,29.7495,36.1728,216.4845,114.6742
PoissonAutoreg,30.2218,37.0342,216.6664,112.9714
SeirCount-TabPFN,30.7435,37.8605,220.0328,112.1720
ElasticNet,30.3369,36.8163,226.4474,114.6147
N-HiTS,30.8380,38.0108,230.1449,113.2896
RandomForest,30.0559,35.8674,234.2990,114.6202
TimesFM-2.5,32.2594,39.9560,241.1398,114.7026
FusedEpi,31.9711,39.5526,242.4044,113.5599
TiRex,32.1275,39.7474,243.4597,113.8976
N-BEATS,31.7458,39.1751,244.0693,113.3582
DLinear,32.3652,39.9011,247.1915,114.2860
Theta,32.2348,39.6960,247.5860,112.2114
ARIMA,32.3527,40.2010,247.8576,112.5250
Wallinga-Teunis,31.8473,38.5584,250.2165,117.1369
SARIMA,32.9115,40.6522,251.1801,114.8914
TabPFN,33.6220,41.2815,251.3343,116.4800
Mamba,31.9859,37.4021,252.8205,124.7544
SARIMAX,33.1479,41.0432,255.6904,115.2984
FluSight-Baseline,32.9935,40.3421,257.7290,116.2509
EpiEstim,32.6649,39.4968,261.5206,117.5700
