feature,permutation_importance,native_shap_importance
temp_avg,0.0,0.059836
temp_min,0.0,0.035304
humidity,0.0,0.05662
wind_speed,0.0,0.053098
rainfall,0.0,0.045586
pressure,0.0,0.036575
sunshine,0.0,0.037748
temp_std,0.0,0.043918
vax_coverage,0.0,2e-06
ari_사람_보카바이러스,0.0,0.0
ari_아데노바이러스,0.0,0.0
ari_계,0.0,0.0
ari_인플루엔자_바이러스,0.0,0.0
ari_호흡기세포융합바이러스(rsv),0.0,0.0
ari_클라미디아균,0.0,0.0
ari_파라인플루엔자바이러스,0.0,0.0
ari_사람_메타뉴모바이러스,0.0,0.0
ari_리노바이러스,0.0,0.0
ari_마이코플라즈마균,0.0,0.0
ari_사람_코로나바이러스(계절),0.0,0.0
ari_코로나19_바이러스,0.0,0.0
dis_홍역,0.0,0.0
dis_세균성이질,0.0,0.0
dis_마버그열,0.0,0.0
dis_중동호흡기증후군mers,0.0,0.0
dis_폐렴구균_감염증,0.0,0.0
dis_야토병,0.0,0.0
dis_한센병,0.0,0.0
dis_라싸열,0.0,0.0
dis_장티푸스,0.0,0.0
dis_에볼라바이러스병,0.0,0.0
dis_동물인플루엔자_인체감염증,0.0,0.0
dis_신종감염병증후군,0.0,0.0
dis_콜레라,0.0,0.0
dis_폴리오,0.0,0.0
dis_남아메리카출혈열,0.0,0.0
dis_리프트밸리열,0.0,0.0
dis_보툴리눔독소증,0.0,0.0
dis_페스트,0.0,0.0
dis_디프테리아,0.0,0.0
dis_유행성이하선염,0.0,0.0
dis_크리미안콩고출혈열,0.0,0.0
dis_b형헤모필루스인플루엔자,0.0,0.0
dis_중증급성호흡기증후군sars,0.0,0.0
dis_신종인플루엔자,0.0,0.0
dis_백일해,0.0,0.0
dis_파라티푸스,0.0,0.0
dis_두창,0.0,0.0
dis_탄저,0.0,0.0
dis_a형간염,0.0,0.0
dis_수막구균_감염증,0.0,0.0
dis_장출혈성대장균감염증,0.0,0.0
dis_수두,0.0,0.0
dis_라임병,0.0,0.0
dis_신증후군출혈열,0.0,0.0
dis_유비저,0.0,0.0
dis_뎅기열,0.0,0.0
dis_발진티푸스,0.0,0.0
dis_b형간염,0.0,0.0
dis_중증열성혈소판감소증후군sfts,0.0,0.0
dis_큐열,0.0,0.0
dis_성홍열,0.0,0.0
dis_공수병,0.0,0.0
dis_말라리아,0.0,0.0
dis_지카바이러스감염증,0.0,0.0
dis_웨스트나일열,0.0,0.0
dis_비브리오패혈증,0.0,0.0
dis_진드기매개뇌염,0.0,0.0
dis_파상풍,0.0,0.0
dis_황열,0.0,0.0
dis_발진열,0.0,0.0
dis_풍진후천성,0.0,0.0
dis_쯔쯔가무시증,0.0,0.0
dis_렙토스피라증,0.0,0.0
dis_브루셀라증,0.0,0.0
dis_풍진선천성,0.0,0.0
dis_레지오넬라증,0.0,0.0
dis_크로이츠펠트-야콥병cjd_및_변종크로이츠펠트-야콥병vcjd,0.0,0.0
dis_일본뇌염,0.0,0.0
dis_치쿤구니야열,0.0,0.0
dis_카바페넴내성장내세균목cre_감염증,0.0,0.0
dis_반코마이신내성황색포도알균vrsa_감염증,0.0,0.0
dis_c형간염,0.0,0.0
dis_e형간염,0.0,0.0
dis_매독선천성,0.0,0.0
dis_엠폭스,0.0,0.0
dis_매독,0.0,0.0
