feature,permutation_importance,native_shap_importance
ili_rate_lag1,36.699254,3.277474
ili_rate_lag2,33.483963,0.915579
ili_rate_lag52,18.958611,0.632351
ili_rate_lag3,17.812565,1.125239
ili_rate_lag1_bit0,9.476943,0.563843
ili_rate_lag1_bit2,9.161014,0.861093
above_threshold,5.940467,1.408531
rt_nonresnt_ili,5.326532,2.317909
rt_roadcong_ili,4.202441,1.367676
ili_rate_lag2_log1p,3.936523,0.104021
ili_rate_lag1_qnorm,3.360624,0.101835
ili_rate_lag1_wavelet16,1.981543,0.737178
ili_rate_lag1_wavelet4,1.816944,0.934674
ili_rate_lag1_log1p,1.630855,0.864674
ili_rate_lag1_wavelet8,1.292183,0.372368
ili_rate_lag1_bit9,1.036749,0.948136
ili_rate_lag1_bit3,0.980389,0.173167
ili_rate_lag1_bit5,0.574662,0.144272
ili_rate_lag12,0.237233,0.751863
rt_subcrowd_ili,0.010623,2.19497
ili_rate_hampel_deviation_w13,3.4e-05,0.0
dis_일본뇌염,3.3e-05,0.0
rt_spatial_ppltn_gini,3.3e-05,0.0
school_평생학교초-3년6학기,3.2e-05,0.0
hospital_종합병원_beds,3.1e-05,0.0
ili_rate_spec_ent_w26,3.1e-05,0.0
rt_spatial_cong_std,3.1e-05,0.0
ili_rate_rmax26,3e-05,0.0
ili_rate_hampel_cleaned_w13,2.9e-05,0.0
dis_두창,2.9e-05,0.0
gt_cough_lag1,2.8e-05,0.0
fourier_sin_h3,2.8e-05,0.0
pop_inflow_avg,2.8e-05,0.0
dis_라싸열,2.8e-05,0.0
child_vax_avg,2.7e-05,0.0
rt_o3_avg,2.6e-05,0.0
hospital_total_doctors,2.6e-05,0.0
school_평생학교고-3년6학기,2.6e-05,0.0
gt_influenza_lag1,2.6e-05,0.0
ili_rate_stl_seasonal_w104,2.6e-05,0.0
school_각종학교초,2.5e-05,0.0
hospital_count,2.5e-05,0.0
hira_inpat_ratio,2.5e-05,0.0
rt_temp_weekend_cong,2.5e-05,0.0
ili_rate_catch22_f1_mean_diff_w26,2.4e-05,0.0
ili_rate_quantum_zz_q12,2.4e-05,0.0
dis_황열,2.3e-05,0.0
dis_매독,2.3e-05,0.0
gt_fever_lag1,2.3e-05,0.0
ili_rate_catch22_f3_zero_cross_w26,2.3e-05,0.0
dis_지카바이러스감염증,2.3e-05,0.0
dis_장출혈성대장균감염증,2.3e-05,0.0
rt_sdot_wspd_avg,2.3e-05,0.0
school_초등학교,2.2e-05,0.0
ili_rate_rmean8,2.2e-05,0.0
dis_보툴리눔독소증,2.2e-05,0.0
mr_season_ratio,2.2e-05,0.0
ari_계,2.1e-05,0.0
mr_yoy_ratio,2.1e-05,0.0
rt_spatial_poi_count,2.1e-05,0.0
rt_popdet_resnt_avg,2.1e-05,0.0
season_norm,2.1e-05,0.0
temp_min,2.1e-05,0.0
ili_rate_rmax13,2.1e-05,0.0
ili_rate_rmean26,2e-05,0.0
temp_avg_qnorm,2e-05,0.0
ili_rate_rstd26,2e-05,0.0
rt_popdet_ppltn_avg,2e-05,0.0
ili_rate_quantum_cos_q0,2e-05,0.0
gt_cold_lag1,2e-05,0.0
ili_rate_quantum_cos_q3,1.9e-05,0.0
dis_한센병,1.9e-05,0.0
dong_70p_ratio,1.9e-05,0.0
ili_rate_ewm_4w,1.9e-05,0.0
ili_age_13_18_lag1,1.9e-05,0.0
temp_avg_qbin,1.9e-05,0.0
ili_rate_rstd4,1.9e-05,0.0
dis_발진티푸스,1.9e-05,0.0
rt_temp_weekday_cong,1.9e-05,0.0
pop_daytime_avg,1.8e-05,0.0
pop_total_avg,1.8e-05,0.0
school_각종학교중,1.8e-05,0.0
ili_rate_rstd13,1.7e-05,0.0
mr_quarter_avg,1.7e-05,0.0
ili_rate_imf3_w26,1.7e-05,0.0
rt_temp_collection_density,1.6e-05,0.0
dis_큐열,1.6e-05,0.0
dis_엠폭스,1.6e-05,0.0
subway_ride_avg,1.6e-05,0.0
dis_폴리오,1.6e-05,0.0
dis_풍진선천성,1.5e-05,0.0
hira_seoul_patients,1.5e-05,0.0
ili_rate_rmean4,1.5e-05,0.0
dis_매독선천성,1.5e-05,0.0
rt_no2_avg,1.5e-05,0.0
pressure,1.5e-05,0.0
dis_비브리오패혈증,1.5e-05,0.0
rt_temp_cong_wkend_diff,1.5e-05,0.0
dis_마버그열,1.5e-05,0.0
rt_fcst_cong_avg,1.4e-05,0.0
rt_popdet_rate_70p,1.4e-05,0.0
rt_fcst_ppltn_max_avg,1.4e-05,0.0
ili_rate_catch22_f6_kurt_w26,1.4e-05,0.0
ili_rate_quantum_zz_q23,1.4e-05,0.0
ili_rate_hilbert_amp_w13,1.4e-05,0.0
dis_반코마이신내성황색포도알균vrsa_감염증,1.3e-05,0.0
rt_co_avg,1.3e-05,0.0
rt_sub_10m_gton_avg,1.3e-05,0.0
rt_sub_30m_gton_avg,1.3e-05,0.0
rt_air_obs_count,1.3e-05,0.0
rt_sdot_temp_avg,1.3e-05,0.0
dis_크로이츠펠트-야콥병cjd_및_변종크로이츠펠트-야콥병vcjd,1.3e-05,0.0
ili_rate_hjorth_cmp_w26,1.3e-05,0.0
dis_말라리아,1.3e-05,0.0
subway_alight_avg,1.2e-05,0.0
rt_sdot_hum_avg,1.2e-05,0.0
dis_파라티푸스,1.2e-05,0.0
ili_rate_diff4,1.2e-05,0.0
school_고등학교,1.2e-05,0.0
rt_popdet_active_age,1.2e-05,0.0
rainfall,1.2e-05,0.0
rt_temp_night_ratio,1.2e-05,0.0
ari_호흡기세포융합바이러스(rsv),1.1e-05,0.0
dis_풍진후천성,1.1e-05,0.0
rt_popdet_male_rate,1.1e-05,0.0
rt_spatial_sub_total_gton,1.1e-05,0.0
ili_rate_fft_slope_w52,1.1e-05,0.0
season_cum_ili,1.1e-05,0.0
rt_temp_commute_sig,1.1e-05,0.0
ili_rate_takens_nn_dist_t4,1.1e-05,0.0
dis_남아메리카출혈열,1e-05,0.0
sch_closure_lag1,1e-05,0.0
hira_seoul_visits,1e-05,0.0
ari_인플루엔자_바이러스,1e-05,0.0
ili_age_1_6_lag2,1e-05,0.0
hospital_병원_doctors,1e-05,0.0
sin_p13,1e-05,0.0
ili_rate_catch22_f4_longest_above_w26,1e-05,0.0
ili_rate_rmean13,9e-06,0.0
rt_spatial_crowded_ratio,9e-06,0.0
hospital_정신병원_beds,9e-06,0.0
ili_rate_quantum_cos_q2,9e-06,0.0
sub_night_ratio,9e-06,0.0
rt_temp_nonresnt_morning,9e-06,0.0
dis_장티푸스,9e-06,0.0
ari_아데노바이러스,9e-06,0.0
ili_rate_savgol_smooth_w17,9e-06,0.0
rt_spatial_total_ppltn,8e-06,0.0
mr_prev_season_mean,8e-06,0.0
rt_popdet_nonresnt_avg,8e-06,0.0
ili_rate_paa_s3_w26,8e-06,0.0
flu_positivity_lag1,8e-06,0.0
dis_c형간염,8e-06,0.0
ili_rate_quantum_sin_q1,8e-06,0.0
child_vax_min,8e-06,0.0
ili_rate_ewm_12w,8e-06,0.0
ili_rate_hjorth_act_w13,8e-06,0.0
school_평생학교고-2년6학기,8e-06,0.0
dis_웨스트나일열,8e-06,0.0
school_각종학교고,8e-06,0.0
ili_age_19_49_lag1,7e-06,0.0
dis_디프테리아,7e-06,0.0
ili_rate_quantum_sin_q3,7e-06,0.0
ili_age_13_18_lag2,7e-06,0.0
school_중학교,7e-06,0.0
dis_치쿤구니야열,7e-06,0.0
ili_rate_savgol_smooth_w9,7e-06,0.0
ili_rate_quantum_sin_q2,7e-06,0.0
ili_rate_paa_s1_w26,7e-06,0.0
dis_성홍열,7e-06,0.0
ili_rate_imf2_w26,7e-06,0.0
dis_레지오넬라증,7e-06,0.0
rt_sub_stn_cnt_avg,7e-06,0.0
ili_rate_quantum_sin_q0,7e-06,0.0
hotspot_ppltn_peak,7e-06,0.0
mr_month_max,6e-06,0.0
rt_fcst_obs_count,6e-06,0.0
dis_크리미안콩고출혈열,6e-06,0.0
ili_rate_diff2,6e-06,0.0
school_고등기술학교,6e-06,0.0
ili_age_0_lag2,6e-06,0.0
gt_tamiflu_lag1,6e-06,0.0
mr_yoy_diff,6e-06,0.0
school_total,6e-06,0.0
dis_세균성이질,5e-06,0.0
dis_발진열,5e-06,0.0
flu_BYam_share_lag1,5e-06,0.0
school_특수학교,5e-06,0.0
dis_폐렴구균_감염증,5e-06,0.0
ili_rate_diff1,5e-06,0.0
rt_pm10_avg,5e-06,0.0
ili_rate_paa_s2_w26,5e-06,0.0
ili_age_7_12_lag2,4e-06,0.0
school_외국인학교,4e-06,0.0
ili_rate_takens_d1_t4,4e-06,0.0
mr_quarter_max,4e-06,0.0
rt_pm25_avg,4e-06,0.0
rt_road_spd_min,4e-06,0.0
mr_quarter_trend,4e-06,0.0
flu_BVic_share_lag1,3e-06,0.0
dis_중동호흡기증후군mers,3e-06,0.0
ari_마이코플라즈마균,3e-06,0.0
temp_avg,3e-06,0.0
gt_flu_lag1,3e-06,0.0
bus_alight_avg,3e-06,0.0
dis_e형간염,3e-06,0.0
rt_spatial_road_spd_cv,3e-06,0.0
ili_rate_hilbert_phase_w26,2e-06,0.0
cos_p13,2e-06,0.0
dis_카바페넴내성장내세균목cre_감염증,2e-06,0.0
bus_hourly_total,2e-06,0.0
dong_elderly_ratio,2e-06,0.0
subway_total_avg,2e-06,0.0
dis_신증후군출혈열,2e-06,0.0
fourier_cos_h2,2e-06,0.0
gt_runny_nose_lag1,2e-06,0.0
rt_popdet_rate_0_9,2e-06,0.0
rt_popdet_highrisk_age,2e-06,0.0
bus_ride_avg,2e-06,0.0
bus_rush_ratio,2e-06,0.0
rt_spatial_obs_count,1e-06,0.0
ili_rate_quantum_cos_q1,1e-06,0.0
ili_rate_rmin13,1e-06,0.0
sin_month,1e-06,0.0
dong_child_ratio,1e-06,0.0
ili_rate_rstd8,1e-06,0.0
ari_파라인플루엔자바이러스,0.0,0.0
fcst_tmp,0.0,0.0
fcst_sky,0.0,0.0
fcst_pty,0.0,0.0
fcst_wsd,0.0,0.0
fcst_pop,0.0,0.0
fcst_pcp,0.0,0.0
sari_count,0.0,0.0
hfmd_rate,0.0,0.0
enterovirus_count,0.0,0.0
rt_temp_nonresnt_evening,0.0,0.0
season_idx,-0.0,0.0
gt_er_lag1,-0.0,0.0
fourier_cos_h1,-0.0,0.0
ili_rate_hilbert_freq_w26,-0.0,0.0
mr_month_std,-1e-06,0.0
ili_rate_perment_w26,-1e-06,0.0
hotspot_ppltn_avg,-1e-06,0.0
flu_AH3_share_lag1,-1e-06,0.0
hospital_total_beds,-1e-06,0.0
rt_sub_acml_gtoff_avg,-1e-06,0.0
humidity,-1e-06,0.0
ili_rate_hampel_outlier_w13,-1e-06,0.0
ili_rate_perment_w13,-2e-06,0.0
cos_month,-2e-06,0.0
sin_p26,-2e-06,0.0
fourier_cos_h3,-2e-06,0.0
ili_rate_stl_trend_w104,-3e-06,0.0
dis_리프트밸리열,-3e-06,0.0
fourier_sin_h1,-3e-06,0.0
dis_신종인플루엔자,-3e-06,0.0
cos_p26,-3e-06,0.0
ari_사람_메타뉴모바이러스,-3e-06,0.0
ili_rate_ewm_26w,-4e-06,0.0
hourly_pop_peak,-4e-06,0.0
sin_p6_5,-4e-06,0.0
ari_사람_보카바이러스,-5e-06,0.0
dis_라임병,-5e-06,0.0
dis_유행성이하선염,-5e-06,0.0
dis_공수병,-5e-06,0.0
ili_rate_savgol_deriv_w17,-5e-06,0.0
dong_pop_avg,-5e-06,0.0
rt_spatial_road_spd_std,-5e-06,0.0
fourier_sin_h2,-5e-06,0.0
mr_month_avg,-5e-06,0.0
cos_p6_5,-7e-06,0.0
ili_age_65p_lag2,-7e-06,0.0
dis_쯔쯔가무시증,-7e-06,0.0
ari_클라미디아균,-7e-06,0.0
school_방송통신중학교,-7e-06,0.0
ili_rate_hilbert_phase_w13,-7e-06,0.0
rt_sub_obs_count,-7e-06,0.0
hospital_병원_beds,-8e-06,0.0
