feature,permutation_importance,native_shap_importance
rt_highrisk_ili,70.889318,2.447475
ili_rate_lag1,63.030801,1.95084
rt_roadcong_ili,60.279567,1.875544
humid_ili,53.755918,0.687539
rt_nonresnt_ili,53.256152,1.464138
rt_subcrowd_ili,49.316783,1.796543
bus_ili,49.226041,1.672021
ili_rate_lag1_log1p,37.730875,1.316951
ili_rate_lag1_qnorm,14.214725,0.809473
ili_rate_lag1_qbin,9.830419,0.384848
ili_rate_savgol_smooth_w9,6.239839,0.490817
above_threshold,0.007701,0.115517
temp_avg,0.0,nan
temp_min,0.0,nan
humidity,0.0,nan
wind_speed,0.0,nan
rainfall,0.0,nan
pressure,0.0,nan
sunshine,0.0,nan
temp_std,0.0,nan
vax_coverage,0.0,nan
ari_사람_보카바이러스,0.0,nan
ari_아데노바이러스,0.0,nan
ari_계,0.0,nan
ari_인플루엔자_바이러스,0.0,nan
ari_호흡기세포융합바이러스(rsv),0.0,nan
ari_클라미디아균,0.0,nan
ari_파라인플루엔자바이러스,0.0,nan
ari_사람_메타뉴모바이러스,0.0,nan
ari_리노바이러스,0.0,nan
ari_마이코플라즈마균,0.0,nan
ari_사람_코로나바이러스(계절),0.0,nan
ari_코로나19_바이러스,0.0,nan
dis_홍역,0.0,nan
dis_세균성이질,0.0,nan
dis_마버그열,0.0,nan
dis_중동호흡기증후군mers,0.0,nan
dis_폐렴구균_감염증,0.0,nan
dis_야토병,0.0,nan
dis_한센병,0.0,nan
dis_라싸열,0.0,nan
dis_장티푸스,0.0,nan
dis_에볼라바이러스병,0.0,nan
dis_동물인플루엔자_인체감염증,0.0,nan
dis_신종감염병증후군,0.0,nan
dis_콜레라,0.0,nan
dis_폴리오,0.0,nan
dis_남아메리카출혈열,0.0,nan
dis_리프트밸리열,0.0,nan
dis_보툴리눔독소증,0.0,nan
dis_페스트,0.0,nan
dis_디프테리아,0.0,nan
dis_유행성이하선염,0.0,nan
dis_크리미안콩고출혈열,0.0,nan
dis_b형헤모필루스인플루엔자,0.0,nan
dis_중증급성호흡기증후군sars,0.0,nan
dis_신종인플루엔자,0.0,nan
dis_백일해,0.0,nan
dis_파라티푸스,0.0,nan
dis_두창,0.0,nan
dis_탄저,0.0,nan
dis_a형간염,0.0,nan
dis_수막구균_감염증,0.0,nan
dis_장출혈성대장균감염증,0.0,nan
dis_수두,0.0,nan
dis_라임병,0.0,nan
dis_신증후군출혈열,0.0,nan
dis_유비저,0.0,nan
dis_뎅기열,0.0,nan
dis_발진티푸스,0.0,nan
dis_b형간염,0.0,nan
dis_중증열성혈소판감소증후군sfts,0.0,nan
dis_큐열,0.0,nan
dis_성홍열,0.0,nan
dis_공수병,0.0,nan
dis_말라리아,0.0,nan
dis_지카바이러스감염증,0.0,nan
dis_웨스트나일열,0.0,nan
dis_비브리오패혈증,0.0,nan
dis_진드기매개뇌염,0.0,nan
dis_파상풍,0.0,nan
dis_황열,0.0,nan
dis_발진열,0.0,nan
dis_풍진후천성,0.0,nan
dis_쯔쯔가무시증,0.0,nan
dis_렙토스피라증,0.0,nan
dis_브루셀라증,0.0,nan
dis_풍진선천성,0.0,nan
dis_레지오넬라증,0.0,nan
dis_크로이츠펠트-야콥병cjd_및_변종크로이츠펠트-야콥병vcjd,0.0,nan
dis_일본뇌염,0.0,nan
dis_치쿤구니야열,0.0,nan
dis_카바페넴내성장내세균목cre_감염증,0.0,nan
dis_반코마이신내성황색포도알균vrsa_감염증,0.0,nan
dis_c형간염,0.0,nan
dis_e형간염,0.0,nan
dis_매독선천성,0.0,nan
dis_엠폭스,0.0,nan
dis_매독,0.0,nan
dis_니파바이러스감염증,0.0,nan
pop_total_avg,0.0,nan
pop_daytime_avg,0.0,nan
pop_inflow_avg,0.0,nan
subway_ride_avg,0.0,nan
subway_alight_avg,0.0,nan
subway_total_avg,0.0,nan
bus_ride_avg,0.0,nan
bus_alight_avg,0.0,nan
bus_total_avg,0.0,nan
hotspot_ppltn_peak,0.0,nan
hotspot_ppltn_avg,0.0,nan
school_중학교,0.0,nan
school_방송통신고등학교,0.0,nan
school_각종학교초,0.0,nan
school_평생학교중-2년6학기,0.0,nan
school_특수학교,0.0,nan
school_각종학교중,0.0,nan
school_평생학교초-3년6학기,0.0,nan
school_고등학교,0.0,nan
school_외국인학교,0.0,nan
school_방송통신중학교,0.0,nan
school_평생학교고-3년6학기,0.0,nan
school_평생학교고-2년6학기,0.0,nan
school_고등기술학교,0.0,nan
school_초등학교,0.0,nan
school_각종학교고,0.0,nan
school_공동실습소,0.0,nan
school_total,0.0,nan
hospital_상급종합_beds,0.0,nan
hospital_상급종합_doctors,0.0,nan
hospital_요양병원_beds,0.0,nan
hospital_요양병원_doctors,0.0,0.0
hospital_병원_beds,0.0,nan
hospital_병원_doctors,0.0,nan
hospital_정신병원_beds,0.0,nan
hospital_정신병원_doctors,0.0,nan
hospital_종합병원_beds,0.0,nan
hospital_종합병원_doctors,0.0,nan
hospital_total_beds,0.0,nan
hospital_total_doctors,0.0,0.0
hospital_count,0.0,nan
emp_workplace_avg,0.0,nan
emp_monthly_avg,0.0,0.023378
hira_visits_avg,0.0,nan
hira_visits_total,0.0,nan
hourly_pop_avg,0.0,nan
hourly_pop_peak,0.0,nan
fcst_tmp,0.0,nan
fcst_reh,0.0,nan
fcst_sky,0.0,nan
fcst_pty,0.0,nan
fcst_wsd,0.0,nan
fcst_pop,0.0,nan
fcst_pcp,0.0,nan
sub_rush_ratio,0.0,nan
sub_night_ratio,0.0,nan
sub_hourly_total,0.0,nan
bus_rush_ratio,0.0,nan
bus_hourly_total,0.0,nan
sari_count,0.0,nan
hfmd_rate,0.0,nan
enterovirus_count,0.0,nan
hira_inpat_ratio,0.0,nan
hira_inpat_count,0.0,nan
hira_seoul_patients,0.0,nan
hira_seoul_visits,0.0,nan
