model,scope,record_type,step,split,metric_name,value,params_json,saved_at
ARIMA,pooled,closed_form,0,test,r2,0.9244953708310253,{},2026-06-30T21:13:57.840033+00:00
ARIMA,pooled,closed_form,0,test,MAE,4.250833568402838,{},2026-06-30T21:13:57.840041+00:00
ARIMA,pooled,closed_form,0,test,RMSE,7.141231495402756,{},2026-06-30T21:13:57.840044+00:00
ARIMA,pooled,closed_form,0,test,mse,50.99718727093227,{},2026-06-30T21:13:57.840047+00:00
ARIMA,pooled,closed_form,0,test,MAPE,19.307846788871235,{},2026-06-30T21:13:57.840049+00:00
ARIMA,pooled,closed_form,0,test,SMAPE,19.815231116981234,{},2026-06-30T21:13:57.840050+00:00
ARIMA,pooled,closed_form,0,test,mdape,14.631841881071136,{},2026-06-30T21:13:57.840052+00:00
ARIMA,pooled,closed_form,0,test,bias_mean_error,-0.6572965253177416,{},2026-06-30T21:13:57.840054+00:00
ARIMA,pooled,closed_form,0,test,msle,0.06694970577790985,{},2026-06-30T21:13:57.840055+00:00
ARIMA,pooled,closed_form,0,test,theils_u,0.9300841446353663,{},2026-06-30T21:13:57.840057+00:00
ARIMA,pooled,closed_form,0,test,mase_h1,2.365637429345513,{},2026-06-30T21:13:57.840058+00:00
ARIMA,pooled,closed_form,0,test,mase_h4,0.9083814793202388,{},2026-06-30T21:13:57.840060+00:00
ARIMA,pooled,closed_form,0,test,mase_h13,0.0025889810681782293,{},2026-06-30T21:13:57.840062+00:00
ARIMA,pooled,closed_form,0,test,mase_h26,3.9370682567615254e-7,{},2026-06-30T21:13:57.840063+00:00
ARIMA,pooled,closed_form,0,test,mase_h52,7.974628542371178e-15,{},2026-06-30T21:13:57.840064+00:00
ARIMA,pooled,closed_form,0,test,tp,42.0,{},2026-06-30T21:13:57.840066+00:00
ARIMA,pooled,closed_form,0,test,tn,19.0,{},2026-06-30T21:13:57.840068+00:00
ARIMA,pooled,closed_form,0,test,fp,3.0,{},2026-06-30T21:13:57.840069+00:00
ARIMA,pooled,closed_form,0,test,fn,4.0,{},2026-06-30T21:13:57.840071+00:00
ARIMA,pooled,closed_form,0,test,sensitivity,1.0,{},2026-06-30T21:13:57.840072+00:00
ARIMA,pooled,closed_form,0,test,specificity,0.8974358974358975,{},2026-06-30T21:13:57.840073+00:00
ARIMA,pooled,closed_form,0,test,ppv,0.8787878787878788,{},2026-06-30T21:13:57.840074+00:00
ARIMA,pooled,closed_form,0,test,npv,1.0,{},2026-06-30T21:13:57.840076+00:00
ARIMA,pooled,closed_form,0,test,accuracy,0.8970588235294118,{},2026-06-30T21:13:57.840077+00:00
ARIMA,pooled,closed_form,0,test,prevalence,0.6764705882352942,{},2026-06-30T21:13:57.840078+00:00
ARIMA,pooled,closed_form,0,test,balanced_accuracy,0.8883399209486166,{},2026-06-30T21:13:57.840080+00:00
ARIMA,pooled,closed_form,0,test,g_mean,0.8879963679019833,{},2026-06-30T21:13:57.840081+00:00
ARIMA,pooled,closed_form,0,test,f1,0.9354838709677419,{},2026-06-30T21:13:57.840082+00:00
ARIMA,pooled,closed_form,0,test,f2_score,0.9170305676855895,{},2026-06-30T21:13:57.840084+00:00
ARIMA,pooled,closed_form,0,test,f05_score,0.9292035398230089,{},2026-06-30T21:13:57.840085+00:00
ARIMA,pooled,closed_form,0,test,alert_f1,0.9230769230769231,{},2026-06-30T21:13:57.840086+00:00
ARIMA,pooled,closed_form,0,test,youden_j,0.8974358974358974,{},2026-06-30T21:13:57.840087+00:00
ARIMA,pooled,closed_form,0,test,mcc,0.8880629418322717,{},2026-06-30T21:13:57.840089+00:00
ARIMA,pooled,closed_form,0,test,dor,66.5,{},2026-06-30T21:13:57.840090+00:00
ARIMA,pooled,closed_form,0,test,markedness,0.7594202898550724,{},2026-06-30T21:13:57.840091+00:00
ARIMA,pooled,closed_form,0,test,cohens_kappa,0.8818418766290183,{},2026-06-30T21:13:57.840093+00:00
ARIMA,pooled,closed_form,0,test,lr_positive,9.750000000000004,{},2026-06-30T21:13:57.840094+00:00
ARIMA,pooled,closed_form,0,test,lr_negative,0.0,{},2026-06-30T21:13:57.840095+00:00
ARIMA,pooled,closed_form,0,test,direction_acc,0.6119402985074627,{},2026-06-30T21:13:57.840096+00:00
ARIMA,pooled,closed_form,0,test,pi99_coverage,1.0,{},2026-06-30T21:13:57.840098+00:00
ARIMA,pooled,closed_form,0,test,pi99_width,64.80807061586769,{},2026-06-30T21:13:57.840099+00:00
ARIMA,pooled,closed_form,0,test,pi95_coverage,0.9852941176470589,{},2026-06-30T21:13:57.840100+00:00
ARIMA,pooled,closed_form,0,test,pi95_width,37.50634465622548,{},2026-06-30T21:13:57.840102+00:00
ARIMA,pooled,closed_form,0,test,pi80_coverage,0.9705882352941176,{},2026-06-30T21:13:57.840103+00:00
ARIMA,pooled,closed_form,0,test,pi80_width,13.173326627597959,{},2026-06-30T21:13:57.840104+00:00
ARIMA,pooled,closed_form,0,test,pi50_coverage,0.8970588235294118,{},2026-06-30T21:13:57.840106+00:00
ARIMA,pooled,closed_form,0,test,pi50_width,5.154675746234027,{},2026-06-30T21:13:57.840107+00:00
ARIMA,pooled,closed_form,0,test,pi_sharpness_ratio,1.4431730756087808,{},2026-06-30T21:13:57.840108+00:00
ARIMA,pooled,closed_form,0,test,pi95_ci_lo,0.8989536863477694,{},2026-06-30T21:13:57.840110+00:00
ARIMA,pooled,closed_form,0,test,pi95_ci_hi,0.9918968204568701,{},2026-06-30T21:13:57.840111+00:00
ARIMA,pooled,closed_form,0,test,pi95_relia,0.020588235294117685,{},2026-06-30T21:13:57.840112+00:00
ARIMA,pooled,closed_form,0,test,pi80_relia,0.0235294117647058,{},2026-06-30T21:13:57.840114+00:00
ARIMA,pooled,closed_form,0,test,sigma_in_sample,14.996713975033593,{},2026-06-30T21:13:57.840115+00:00
ARIMA,pooled,closed_form,0,test,alert_threshold,8.6,{},2026-06-30T21:13:57.840116+00:00
ARIMA,pooled,closed_form,0,test,WIS,4.411447895223204,{},2026-06-30T21:13:57.840118+00:00
ARIMA,pooled,closed_form,0,test,log_wis,0.16067999828139734,{},2026-06-30T21:13:57.840119+00:00
ARIMA,pooled,closed_form,0,test,wis_sharpness,3.19532,{},2026-06-30T21:13:57.840120+00:00
ARIMA,pooled,closed_form,0,test,wis_underpred,0.255168,{},2026-06-30T21:13:57.840121+00:00
ARIMA,pooled,closed_form,0,test,wis_overpred,0.591322,{},2026-06-30T21:13:57.840123+00:00
ARIMA,pooled,closed_form,0,test,wis_total_decomp,4.411448,{},2026-06-30T21:13:57.840124+00:00
