model,scope,record_type,step,split,metric_name,value,params_json,saved_at
BayesianMCMC,pooled,optuna_trial,0,optuna_trial,WIS,2.171072674913109,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:28.413170+00:00
BayesianMCMC,pooled,optuna_trial,1,optuna_trial,WIS,9.039769949883516,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:28.413189+00:00
BayesianMCMC,pooled,optuna_trial,2,optuna_trial,WIS,4.758994091466981,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:28.413192+00:00
BayesianMCMC,pooled,optuna_trial,3,optuna_trial,WIS,7.110645853219248,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:28.413200+00:00
BayesianMCMC,pooled,optuna_trial,4,optuna_trial,WIS,3308.376747512956,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:28.413202+00:00
BayesianMCMC,pooled,optuna_trial,5,optuna_trial,WIS,7.895381661702353,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:28.413204+00:00
BayesianMCMC,pooled,optuna_trial,6,optuna_trial,WIS,7.895381661702366,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:28.413206+00:00
BayesianMCMC,pooled,closed_form,0,test,r2,0.8291519558292676,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913612+00:00
BayesianMCMC,pooled,closed_form,0,test,MAE,6.659176602614184,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913620+00:00
BayesianMCMC,pooled,closed_form,0,test,RMSE,10.742152857979082,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913623+00:00
BayesianMCMC,pooled,closed_form,0,test,mse,115.39384802418817,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913625+00:00
BayesianMCMC,pooled,closed_form,0,test,MAPE,22.45762204130696,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913627+00:00
BayesianMCMC,pooled,closed_form,0,test,SMAPE,24.141586960626782,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913628+00:00
BayesianMCMC,pooled,closed_form,0,test,mdape,18.212367131348508,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913630+00:00
BayesianMCMC,pooled,closed_form,0,test,bias_mean_error,-4.6059078807031675,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913632+00:00
BayesianMCMC,pooled,closed_form,0,test,msle,0.09374248962943754,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913633+00:00
BayesianMCMC,pooled,closed_form,0,test,theils_u,1.0480070216072974,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913635+00:00
BayesianMCMC,pooled,closed_form,0,test,mase_h1,3.7059078334334643,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913636+00:00
BayesianMCMC,pooled,closed_form,0,test,mase_h4,1.4230321173478,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913638+00:00
BayesianMCMC,pooled,closed_form,0,test,mase_h13,0.004055788559207529,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913639+00:00
BayesianMCMC,pooled,closed_form,0,test,mase_h26,6.167645097470163e-7,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913641+00:00
BayesianMCMC,pooled,closed_form,0,test,mase_h52,1.249271676939596e-14,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913642+00:00
BayesianMCMC,pooled,closed_form,0,test,tp,43.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913644+00:00
BayesianMCMC,pooled,closed_form,0,test,tn,20.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913646+00:00
BayesianMCMC,pooled,closed_form,0,test,fp,2.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913647+00:00
BayesianMCMC,pooled,closed_form,0,test,fn,3.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913649+00:00
BayesianMCMC,pooled,closed_form,0,test,sensitivity,0.9655172413793104,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913650+00:00
BayesianMCMC,pooled,closed_form,0,test,specificity,0.8974358974358975,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913652+00:00
BayesianMCMC,pooled,closed_form,0,test,ppv,0.875,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913653+00:00
BayesianMCMC,pooled,closed_form,0,test,npv,0.9722222222222222,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913654+00:00
BayesianMCMC,pooled,closed_form,0,test,accuracy,0.9264705882352942,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913656+00:00
BayesianMCMC,pooled,closed_form,0,test,prevalence,0.6764705882352942,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913657+00:00
BayesianMCMC,pooled,closed_form,0,test,balanced_accuracy,0.9219367588932806,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913659+00:00
BayesianMCMC,pooled,closed_form,0,test,g_mean,0.9218472604187214,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913660+00:00
BayesianMCMC,pooled,closed_form,0,test,f1,0.9180327868852458,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913661+00:00
BayesianMCMC,pooled,closed_form,0,test,f2_score,0.9388646288209607,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913663+00:00
BayesianMCMC,pooled,closed_form,0,test,f05_score,0.9513274336283186,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913664+00:00
BayesianMCMC,pooled,closed_form,0,test,alert_f1,0.945054945054945,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913665+00:00
BayesianMCMC,pooled,closed_form,0,test,youden_j,0.8629531388152079,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913667+00:00
BayesianMCMC,pooled,closed_form,0,test,mcc,0.8550515048467328,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913668+00:00
BayesianMCMC,pooled,closed_form,0,test,dor,143.33333333333334,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913671+00:00
BayesianMCMC,pooled,closed_form,0,test,markedness,0.8251207729468599,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913672+00:00
BayesianMCMC,pooled,closed_form,0,test,cohens_kappa,0.8516579406631763,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913674+00:00
BayesianMCMC,pooled,closed_form,0,test,lr_positive,9.41379310344828,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913675+00:00
BayesianMCMC,pooled,closed_form,0,test,lr_negative,0.03842364532019699,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913676+00:00
BayesianMCMC,pooled,closed_form,0,test,direction_acc,0.6268656716417911,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913677+00:00
BayesianMCMC,pooled,closed_form,0,test,pi99_coverage,1.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913679+00:00
BayesianMCMC,pooled,closed_form,0,test,pi99_width,70.82502882172321,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913680+00:00
BayesianMCMC,pooled,closed_form,0,test,pi95_coverage,0.9558823529411765,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913682+00:00
BayesianMCMC,pooled,closed_form,0,test,pi95_width,59.18430146084356,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913683+00:00
BayesianMCMC,pooled,closed_form,0,test,pi80_coverage,0.9117647058823529,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913684+00:00
BayesianMCMC,pooled,closed_form,0,test,pi80_width,24.681314997342568,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913685+00:00
BayesianMCMC,pooled,closed_form,0,test,pi50_coverage,0.7794117647058824,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913687+00:00
BayesianMCMC,pooled,closed_form,0,test,pi50_width,6.317540784190438,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913688+00:00
BayesianMCMC,pooled,closed_form,0,test,pi_sharpness_ratio,2.277299778207674,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:13:29.913690+00:00
