model,scope,record_type,step,split,metric_name,value,params_json,saved_at
CQR-LightGBM,pooled,optuna_trial,0,optuna_trial,WIS,2.6777337880724477,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:00.986259+00:00
CQR-LightGBM,pooled,optuna_trial,1,optuna_trial,WIS,10.094708408354352,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:00.986271+00:00
CQR-LightGBM,pooled,optuna_trial,2,optuna_trial,WIS,9.363062398256243,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:00.986275+00:00
CQR-LightGBM,pooled,optuna_trial,3,optuna_trial,WIS,9.692362478512457,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:00.986277+00:00
CQR-LightGBM,pooled,optuna_trial,4,optuna_trial,WIS,19.73865599140148,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:00.986279+00:00
CQR-LightGBM,pooled,optuna_trial,5,optuna_trial,WIS,8.114723957878759,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:00.986281+00:00
CQR-LightGBM,pooled,optuna_trial,6,optuna_trial,WIS,8.11472392762085,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:00.986283+00:00
CQR-LightGBM,pooled,closed_form,0,test,r2,0.7537856799201269,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476888+00:00
CQR-LightGBM,pooled,closed_form,0,test,MAE,7.285277234405307,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476898+00:00
CQR-LightGBM,pooled,closed_form,0,test,RMSE,12.895642248839419,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476901+00:00
CQR-LightGBM,pooled,closed_form,0,test,mse,166.2975890100522,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476903+00:00
CQR-LightGBM,pooled,closed_form,0,test,MAPE,20.914627779285958,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476905+00:00
CQR-LightGBM,pooled,closed_form,0,test,SMAPE,23.123047906724608,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476908+00:00
CQR-LightGBM,pooled,closed_form,0,test,mdape,15.083547776117653,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476910+00:00
CQR-LightGBM,pooled,closed_form,0,test,bias_mean_error,-5.523915295322392,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476912+00:00
CQR-LightGBM,pooled,closed_form,0,test,msle,0.09559106655291283,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476914+00:00
CQR-LightGBM,pooled,closed_form,0,test,theils_u,1.0890032666908664,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476915+00:00
CQR-LightGBM,pooled,closed_form,0,test,mase_h1,4.054339985685066,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476917+00:00
CQR-LightGBM,pooled,closed_form,0,test,mase_h4,1.5568266329311162,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476919+00:00
CQR-LightGBM,pooled,closed_form,0,test,mase_h13,0.004437116751995535,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476921+00:00
CQR-LightGBM,pooled,closed_form,0,test,mase_h26,6.747531579332435e-7,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476923+00:00
CQR-LightGBM,pooled,closed_form,0,test,mase_h52,1.366729109425105e-14,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476924+00:00
CQR-LightGBM,pooled,closed_form,0,test,tp,44.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476926+00:00
CQR-LightGBM,pooled,closed_form,0,test,tn,22.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476927+00:00
CQR-LightGBM,pooled,closed_form,0,test,fp,0.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476929+00:00
CQR-LightGBM,pooled,closed_form,0,test,fn,2.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476930+00:00
CQR-LightGBM,pooled,closed_form,0,test,sensitivity,0.896551724137931,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476931+00:00
CQR-LightGBM,pooled,closed_form,0,test,specificity,0.9487179487179487,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476933+00:00
CQR-LightGBM,pooled,closed_form,0,test,ppv,0.9285714285714286,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476934+00:00
CQR-LightGBM,pooled,closed_form,0,test,npv,0.925,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476936+00:00
CQR-LightGBM,pooled,closed_form,0,test,accuracy,0.9705882352941176,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476937+00:00
CQR-LightGBM,pooled,closed_form,0,test,prevalence,0.6764705882352942,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476939+00:00
CQR-LightGBM,pooled,closed_form,0,test,balanced_accuracy,0.9782608695652174,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476940+00:00
CQR-LightGBM,pooled,closed_form,0,test,g_mean,0.9780192938436515,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476942+00:00
CQR-LightGBM,pooled,closed_form,0,test,f1,0.912280701754386,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:01.476943+00:00
