model,scope,record_type,step,split,metric_name,value,params_json,saved_at
CQR-QuantReg,pooled,optuna_trial,0,optuna_trial,WIS,1.918759201376365,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:08.268308+00:00
CQR-QuantReg,pooled,optuna_trial,1,optuna_trial,WIS,1912.4583210184292,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:08.268316+00:00
CQR-QuantReg,pooled,optuna_trial,2,optuna_trial,WIS,2.7501795750540965,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:08.268319+00:00
CQR-QuantReg,pooled,optuna_trial,3,optuna_trial,WIS,1075.1771791682331,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:08.268321+00:00
CQR-QuantReg,pooled,optuna_trial,4,optuna_trial,WIS,14432.180496231811,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:08.268323+00:00
CQR-QuantReg,pooled,optuna_trial,5,optuna_trial,WIS,2.208858641114124,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:08.268326+00:00
CQR-QuantReg,pooled,optuna_trial,6,optuna_trial,WIS,2.2088586410660165,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:08.268328+00:00
CQR-QuantReg,pooled,closed_form,0,test,r2,0.807420428823441,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:08.710688+00:00
CQR-QuantReg,pooled,closed_form,0,test,MAE,7.83548171271944,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:08.710695+00:00
CQR-QuantReg,pooled,closed_form,0,test,RMSE,11.404898640733743,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:08.710697+00:00
CQR-QuantReg,pooled,closed_form,0,test,mse,130.07171300541037,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:08.710699+00:00
CQR-QuantReg,pooled,closed_form,0,test,MAPE,37.82424709229051,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:08.710701+00:00
CQR-QuantReg,pooled,closed_form,0,test,SMAPE,53.19090726981122,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:40:08.710703+00:00
