model,scope,record_type,step,split,metric_name,value,params_json,saved_at
DLinear,pooled,optuna_trial,0,optuna_trial,WIS,2.644610007297827,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.274387+00:00
DLinear,pooled,optuna_trial,1,optuna_trial,WIS,2751.463690598907,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.274395+00:00
DLinear,pooled,optuna_trial,2,optuna_trial,WIS,4.972253633755392,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.274399+00:00
DLinear,pooled,optuna_trial,3,optuna_trial,WIS,7.121045058812482,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.274401+00:00
DLinear,pooled,optuna_trial,4,optuna_trial,WIS,13215.97499268859,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.274403+00:00
DLinear,pooled,optuna_trial,5,optuna_trial,WIS,3.036581455125082,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.274406+00:00
DLinear,pooled,optuna_trial,6,optuna_trial,WIS,3.0365818352496463,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.274408+00:00
DLinear,pooled,closed_form,0,test,r2,0.9100609141284064,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.706568+00:00
DLinear,pooled,closed_form,0,test,MAE,5.076460499523067,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.706574+00:00
DLinear,pooled,closed_form,0,test,RMSE,7.794002788230274,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.706576+00:00
DLinear,pooled,closed_form,0,test,mse,60.74647946294129,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.706578+00:00
DLinear,pooled,closed_form,0,test,MAPE,24.787065438123378,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.706580+00:00
DLinear,pooled,closed_form,0,test,SMAPE,26.064725306808278,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.706582+00:00
DLinear,pooled,closed_form,0,test,mdape,18.795809513292323,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.706583+00:00
DLinear,pooled,closed_form,0,test,bias_mean_error,-1.1112684536380935,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.706585+00:00
DLinear,pooled,closed_form,0,test,msle,0.11805745011491109,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.706586+00:00
DLinear,pooled,closed_form,0,test,theils_u,1.0912515423656897,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.706588+00:00
DLinear,pooled,closed_form,0,test,mase_h1,2.825108245952321,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.706589+00:00
DLinear,pooled,closed_form,0,test,mase_h4,1.0848137486596885,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.706591+00:00
DLinear,pooled,closed_form,0,test,mase_h13,0.003091831264416681,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:39:50.706592+00:00
