model,scope,record_type,step,split,metric_name,value,params_json,saved_at
DNN-Conformal,pooled,optuna_trial,0,optuna_trial,WIS,29.90695622314845,"{""x_mode"": ""none"", ""y_individual"": ""mcmc_robust"", ""y_mode"": ""individual""}",2026-06-30T21:37:15.241530+00:00
DNN-Conformal,pooled,optuna_trial,1,optuna_trial,WIS,5014.274132580568,"{""x_mode"": ""none"", ""y_individual"": ""mcmc_robust"", ""y_mode"": ""individual""}",2026-06-30T21:37:15.241540+00:00
DNN-Conformal,pooled,optuna_trial,2,optuna_trial,WIS,1414.4940208240075,"{""x_mode"": ""none"", ""y_individual"": ""mcmc_robust"", ""y_mode"": ""individual""}",2026-06-30T21:37:15.241543+00:00
DNN-Conformal,pooled,optuna_trial,3,optuna_trial,WIS,3505.9956702033774,"{""x_mode"": ""none"", ""y_individual"": ""mcmc_robust"", ""y_mode"": ""individual""}",2026-06-30T21:37:15.241546+00:00
DNN-Conformal,pooled,optuna_trial,4,optuna_trial,WIS,23087.04074396698,"{""x_mode"": ""none"", ""y_individual"": ""mcmc_robust"", ""y_mode"": ""individual""}",2026-06-30T21:37:15.241549+00:00
DNN-Conformal,pooled,optuna_trial,5,optuna_trial,WIS,29.57033075963461,"{""x_mode"": ""none"", ""y_individual"": ""mcmc_robust"", ""y_mode"": ""individual""}",2026-06-30T21:37:15.241552+00:00
DNN-Conformal,pooled,optuna_trial,6,optuna_trial,WIS,2.0507364277054294,"{""x_mode"": ""none"", ""y_individual"": ""mcmc_robust"", ""y_mode"": ""individual""}",2026-06-30T21:37:15.241554+00:00
DNN-Conformal,pooled,closed_form,0,test,r2,0.7516311493215277,"{""x_mode"": ""none"", ""y_individual"": ""mcmc_robust"", ""y_mode"": ""individual""}",2026-06-30T21:37:15.594863+00:00
DNN-Conformal,pooled,closed_form,0,test,MAE,8.012279053991621,"{""x_mode"": ""none"", ""y_individual"": ""mcmc_robust"", ""y_mode"": ""individual""}",2026-06-30T21:37:15.594870+00:00
DNN-Conformal,pooled,closed_form,0,test,RMSE,12.951941854598125,"{""x_mode"": ""none"", ""y_individual"": ""mcmc_robust"", ""y_mode"": ""individual""}",2026-06-30T21:37:15.594873+00:00
DNN-Conformal,pooled,closed_form,0,test,mse,167.75279780489075,"{""x_mode"": ""none"", ""y_individual"": ""mcmc_robust"", ""y_mode"": ""individual""}",2026-06-30T21:37:15.594875+00:00
