model,scope,record_type,step,split,metric_name,value,params_json,saved_at
ElasticNet,pooled,optuna_trial,0,optuna_trial,WIS,1.9796997185745668,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:45.200541+00:00
ElasticNet,pooled,optuna_trial,1,optuna_trial,WIS,2.7092138982750473,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:45.200551+00:00
ElasticNet,pooled,optuna_trial,2,optuna_trial,WIS,3.285772681617963,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:45.200554+00:00
ElasticNet,pooled,optuna_trial,3,optuna_trial,WIS,2.318388269376766,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:45.200557+00:00
ElasticNet,pooled,optuna_trial,4,optuna_trial,WIS,5.1076464867761135,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:45.200559+00:00
ElasticNet,pooled,closed_form,0,test,r2,0.8457767278354176,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:51.580914+00:00
ElasticNet,pooled,closed_form,0,test,MAE,5.728674196796257,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:51.580922+00:00
ElasticNet,pooled,closed_form,0,test,RMSE,10.206134302600786,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:51.580925+00:00
ElasticNet,pooled,closed_form,0,test,mse,104.16517740272442,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:51.580927+00:00
ElasticNet,pooled,closed_form,0,test,MAPE,18.9820625192012,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:51.580928+00:00
ElasticNet,pooled,closed_form,0,test,SMAPE,21.10305147107798,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:51.580930+00:00
ElasticNet,pooled,closed_form,0,test,mdape,13.769130611978637,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:51.580932+00:00
ElasticNet,pooled,closed_form,0,test,bias_mean_error,-3.8455909875260694,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:51.580933+00:00
ElasticNet,pooled,closed_form,0,test,msle,0.08000357882098906,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:51.580935+00:00
ElasticNet,pooled,closed_form,0,test,theils_u,1.0479322978821906,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:51.580936+00:00
ElasticNet,pooled,closed_form,0,test,mase_h1,3.1880726173805334,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:06:51.580938+00:00
