model,scope,record_type,step,split,metric_name,value,params_json,saved_at
EpiEstim,pooled,closed_form,0,test,r2,0.6903048075039915,{},2026-06-30T21:13:37.423645+00:00
EpiEstim,pooled,closed_form,0,test,MAE,8.72648844537815,{},2026-06-30T21:13:37.423656+00:00
EpiEstim,pooled,closed_form,0,test,RMSE,14.462839080907909,{},2026-06-30T21:13:37.423660+00:00
EpiEstim,pooled,closed_form,0,test,mse,209.1737142802371,{},2026-06-30T21:13:37.423662+00:00
EpiEstim,pooled,closed_form,0,test,MAPE,29.98783045514054,{},2026-06-30T21:13:37.423664+00:00
EpiEstim,pooled,closed_form,0,test,SMAPE,29.402163514536607,{},2026-06-30T21:13:37.423665+00:00
EpiEstim,pooled,closed_form,0,test,mdape,22.46104324372977,{},2026-06-30T21:13:37.423667+00:00
EpiEstim,pooled,closed_form,0,test,bias_mean_error,-1.40833718487395,{},2026-06-30T21:13:37.423668+00:00
EpiEstim,pooled,closed_form,0,test,msle,0.15039990630536365,{},2026-06-30T21:13:37.423670+00:00
EpiEstim,pooled,closed_form,0,test,theils_u,1.3192619048434728,{},2026-06-30T21:13:37.423671+00:00
EpiEstim,pooled,closed_form,0,test,mase_h1,4.856390484583034,{},2026-06-30T21:13:37.423673+00:00
EpiEstim,pooled,closed_form,0,test,mase_h4,1.864806127016159,{},2026-06-30T21:13:37.423675+00:00
EpiEstim,pooled,closed_form,0,test,mase_h13,0.005314890129948993,{},2026-06-30T21:13:37.423676+00:00
EpiEstim,pooled,closed_form,0,test,mase_h26,8.082363164409514e-7,{},2026-06-30T21:13:37.423678+00:00
EpiEstim,pooled,closed_form,0,test,mase_h52,1.6371025285125916e-14,{},2026-06-30T21:13:37.423680+00:00
EpiEstim,pooled,closed_form,0,test,tp,44.0,{},2026-06-30T21:13:37.423681+00:00
EpiEstim,pooled,closed_form,0,test,tn,20.0,{},2026-06-30T21:13:37.423683+00:00
EpiEstim,pooled,closed_form,0,test,fp,2.0,{},2026-06-30T21:13:37.423684+00:00
EpiEstim,pooled,closed_form,0,test,fn,2.0,{},2026-06-30T21:13:37.423686+00:00
EpiEstim,pooled,closed_form,0,test,sensitivity,0.896551724137931,{},2026-06-30T21:13:37.423687+00:00
EpiEstim,pooled,closed_form,0,test,specificity,0.8461538461538461,{},2026-06-30T21:13:37.423688+00:00
EpiEstim,pooled,closed_form,0,test,ppv,0.8125,{},2026-06-30T21:13:37.423690+00:00
EpiEstim,pooled,closed_form,0,test,npv,0.9166666666666666,{},2026-06-30T21:13:37.423691+00:00
EpiEstim,pooled,closed_form,0,test,accuracy,0.9411764705882353,{},2026-06-30T21:13:37.423693+00:00
EpiEstim,pooled,closed_form,0,test,prevalence,0.6764705882352942,{},2026-06-30T21:13:37.423694+00:00
EpiEstim,pooled,closed_form,0,test,balanced_accuracy,0.9328063241106719,{},2026-06-30T21:13:37.423696+00:00
EpiEstim,pooled,closed_form,0,test,g_mean,0.9325048082403138,{},2026-06-30T21:13:37.423697+00:00
EpiEstim,pooled,closed_form,0,test,f1,0.8524590163934426,{},2026-06-30T21:13:37.423699+00:00
EpiEstim,pooled,closed_form,0,test,f2_score,0.9565217391304348,{},2026-06-30T21:13:37.423700+00:00
EpiEstim,pooled,closed_form,0,test,f05_score,0.9565217391304348,{},2026-06-30T21:13:37.423702+00:00
EpiEstim,pooled,closed_form,0,test,alert_f1,0.9565217391304348,{},2026-06-30T21:13:37.423703+00:00
EpiEstim,pooled,closed_form,0,test,youden_j,0.7427055702917773,{},2026-06-30T21:13:37.423704+00:00
EpiEstim,pooled,closed_form,0,test,mcc,0.735904983679565,{},2026-06-30T21:13:37.423706+00:00
EpiEstim,pooled,closed_form,0,test,dor,220.0,{},2026-06-30T21:13:37.423708+00:00
EpiEstim,pooled,closed_form,0,test,markedness,0.8656126482213438,{},2026-06-30T21:13:37.423709+00:00
EpiEstim,pooled,closed_form,0,test,cohens_kappa,0.7329842931937173,{},2026-06-30T21:13:37.423711+00:00
EpiEstim,pooled,closed_form,0,test,lr_positive,5.827586206896552,{},2026-06-30T21:13:37.423713+00:00
EpiEstim,pooled,closed_form,0,test,lr_negative,0.12225705329153604,{},2026-06-30T21:13:37.423714+00:00
EpiEstim,pooled,closed_form,0,test,direction_acc,0.6716417910447762,{},2026-06-30T21:13:37.423716+00:00
EpiEstim,pooled,closed_form,0,test,pi99_coverage,1.0,{},2026-06-30T21:13:37.423717+00:00
EpiEstim,pooled,closed_form,0,test,pi99_width,106.43185714285715,{},2026-06-30T21:13:37.423719+00:00
EpiEstim,pooled,closed_form,0,test,pi95_coverage,0.9264705882352942,{},2026-06-30T21:13:37.423721+00:00
EpiEstim,pooled,closed_form,0,test,pi95_width,70.74671428571429,{},2026-06-30T21:13:37.423723+00:00
EpiEstim,pooled,closed_form,0,test,pi80_coverage,0.8529411764705882,{},2026-06-30T21:13:37.423724+00:00
EpiEstim,pooled,closed_form,0,test,pi80_width,27.9572857142857,{},2026-06-30T21:13:37.423726+00:00
EpiEstim,pooled,closed_form,0,test,pi50_coverage,0.75,{},2026-06-30T21:13:37.423727+00:00
EpiEstim,pooled,closed_form,0,test,pi50_width,9.78942857142857,{},2026-06-30T21:13:37.423729+00:00
EpiEstim,pooled,closed_form,0,test,pi_sharpness_ratio,2.7221995153287475,{},2026-06-30T21:13:37.423731+00:00
EpiEstim,pooled,closed_form,0,test,pi95_ci_lo,0.8781280481750362,{},2026-06-30T21:13:37.423732+00:00
