model,scope,record_type,step,split,metric_name,value,params_json,saved_at
FluSight-Baseline,pooled,closed_form,0,test,r2,0.8536563890022179,{},2026-06-30T21:20:32.142271+00:00
FluSight-Baseline,pooled,closed_form,0,test,MAE,5.821218487394958,{},2026-06-30T21:20:32.142279+00:00
FluSight-Baseline,pooled,closed_form,0,test,RMSE,9.941987338801935,{},2026-06-30T21:20:32.142282+00:00
FluSight-Baseline,pooled,closed_form,0,test,mse,98.84311224489797,{},2026-06-30T21:20:32.142284+00:00
FluSight-Baseline,pooled,closed_form,0,test,MAPE,19.536239372942905,{},2026-06-30T21:20:32.142286+00:00
FluSight-Baseline,pooled,closed_form,0,test,SMAPE,20.007114146044604,{},2026-06-30T21:20:32.142288+00:00
FluSight-Baseline,pooled,closed_form,0,test,mdape,15.138222459658905,{},2026-06-30T21:20:32.142289+00:00
FluSight-Baseline,pooled,closed_form,0,test,bias_mean_error,-0.7157563025210083,{},2026-06-30T21:20:32.142291+00:00
FluSight-Baseline,pooled,closed_form,0,test,msle,0.07270231045713832,{},2026-06-30T21:20:32.142293+00:00
FluSight-Baseline,pooled,closed_form,0,test,theils_u,1.0,{},2026-06-30T21:20:32.142294+00:00
FluSight-Baseline,pooled,closed_form,0,test,mase_h1,3.23957457204181,{},2026-06-30T21:20:32.142296+00:00
FluSight-Baseline,pooled,closed_form,0,test,mase_h4,1.243964736782901,{},2026-06-30T21:20:32.142297+00:00
FluSight-Baseline,pooled,closed_form,0,test,mase_h13,0.0035454280237222457,{},2026-06-30T21:20:32.142298+00:00
FluSight-Baseline,pooled,closed_form,0,test,mase_h26,5.391538895512956e-7,{},2026-06-30T21:20:32.142300+00:00
FluSight-Baseline,pooled,closed_form,0,test,mase_h52,1.0920694577652148e-14,{},2026-06-30T21:20:32.142301+00:00
FluSight-Baseline,pooled,closed_form,0,test,tp,44.0,{},2026-06-30T21:20:32.142303+00:00
FluSight-Baseline,pooled,closed_form,0,test,tn,21.0,{},2026-06-30T21:20:32.142304+00:00
FluSight-Baseline,pooled,closed_form,0,test,fp,1.0,{},2026-06-30T21:20:32.142306+00:00
FluSight-Baseline,pooled,closed_form,0,test,fn,2.0,{},2026-06-30T21:20:32.142307+00:00
FluSight-Baseline,pooled,closed_form,0,test,sensitivity,0.896551724137931,{},2026-06-30T21:20:32.142309+00:00
FluSight-Baseline,pooled,closed_form,0,test,specificity,0.9487179487179487,{},2026-06-30T21:20:32.142310+00:00
FluSight-Baseline,pooled,closed_form,0,test,ppv,0.9285714285714286,{},2026-06-30T21:20:32.142311+00:00
FluSight-Baseline,pooled,closed_form,0,test,npv,0.925,{},2026-06-30T21:20:32.142313+00:00
FluSight-Baseline,pooled,closed_form,0,test,accuracy,0.9558823529411765,{},2026-06-30T21:20:32.142314+00:00
FluSight-Baseline,pooled,closed_form,0,test,prevalence,0.6764705882352942,{},2026-06-30T21:20:32.142316+00:00
FluSight-Baseline,pooled,closed_form,0,test,balanced_accuracy,0.9555335968379447,{},2026-06-30T21:20:32.142317+00:00
FluSight-Baseline,pooled,closed_form,0,test,g_mean,0.9555330859059092,{},2026-06-30T21:20:32.142318+00:00
FluSight-Baseline,pooled,closed_form,0,test,f1,0.912280701754386,{},2026-06-30T21:20:32.142320+00:00
FluSight-Baseline,pooled,closed_form,0,test,f2_score,0.9606986899563319,{},2026-06-30T21:20:32.142321+00:00
FluSight-Baseline,pooled,closed_form,0,test,f05_score,0.9734513274336283,{},2026-06-30T21:20:32.142322+00:00
FluSight-Baseline,pooled,closed_form,0,test,alert_f1,0.967032967032967,{},2026-06-30T21:20:32.142324+00:00
FluSight-Baseline,pooled,closed_form,0,test,youden_j,0.8452696728558797,{},2026-06-30T21:20:32.142325+00:00
FluSight-Baseline,pooled,closed_form,0,test,mcc,0.8494104085703784,{},2026-06-30T21:20:32.142326+00:00
FluSight-Baseline,pooled,closed_form,0,test,dor,462.0,{},2026-06-30T21:20:32.142328+00:00
FluSight-Baseline,pooled,closed_form,0,test,markedness,0.8908212560386473,{},2026-06-30T21:20:32.142329+00:00
FluSight-Baseline,pooled,closed_form,0,test,cohens_kappa,0.8490230905861457,{},2026-06-30T21:20:32.142330+00:00
FluSight-Baseline,pooled,closed_form,0,test,lr_positive,17.48275862068964,{},2026-06-30T21:20:32.142331+00:00
FluSight-Baseline,pooled,closed_form,0,test,lr_negative,0.10904007455731593,{},2026-06-30T21:20:32.142333+00:00
FluSight-Baseline,pooled,closed_form,0,test,direction_acc,0.7014925373134329,{},2026-06-30T21:20:32.142334+00:00
FluSight-Baseline,pooled,closed_form,0,test,pi99_coverage,1.0,{},2026-06-30T21:20:32.142335+00:00
FluSight-Baseline,pooled,closed_form,0,test,pi99_width,84.57142857142858,{},2026-06-30T21:20:32.142337+00:00
FluSight-Baseline,pooled,closed_form,0,test,pi95_coverage,0.9852941176470589,{},2026-06-30T21:20:32.142338+00:00
FluSight-Baseline,pooled,closed_form,0,test,pi95_width,55.94285714285712,{},2026-06-30T21:20:32.142339+00:00
FluSight-Baseline,pooled,closed_form,0,test,pi80_coverage,0.9264705882352942,{},2026-06-30T21:20:32.142341+00:00
FluSight-Baseline,pooled,closed_form,0,test,pi80_width,18.885714285714293,{},2026-06-30T21:20:32.142342+00:00
