model,scope,record_type,step,split,metric_name,value,params_json,saved_at
FusedEpi,pooled,optuna_trial,0,optuna_trial,WIS,1.5122371763172164,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:29.150087+00:00
FusedEpi,pooled,optuna_trial,1,optuna_trial,WIS,3193.9202505731796,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:29.150096+00:00
FusedEpi,pooled,optuna_trial,2,optuna_trial,WIS,3.554659025507355,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:29.150100+00:00
FusedEpi,pooled,optuna_trial,3,optuna_trial,WIS,6.350422015511244,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:29.150103+00:00
FusedEpi,pooled,optuna_trial,4,optuna_trial,WIS,16215.832848997788,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:29.150106+00:00
FusedEpi,pooled,optuna_trial,5,optuna_trial,WIS,1.6236544739156287,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:29.150109+00:00
FusedEpi,pooled,optuna_trial,6,optuna_trial,WIS,1.6242423202333263,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:29.150112+00:00
FusedEpi,pooled,closed_form,0,test,r2,0.9345690997476578,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:54.637173+00:00
FusedEpi,pooled,closed_form,0,test,MAE,3.909518108820968,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:54.637180+00:00
FusedEpi,pooled,closed_form,0,test,RMSE,6.647797320450844,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:54.637183+00:00
FusedEpi,pooled,closed_form,0,test,mse,44.19320921379343,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:54.637185+00:00
FusedEpi,pooled,closed_form,0,test,MAPE,15.217900404743165,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:54.637187+00:00
FusedEpi,pooled,closed_form,0,test,SMAPE,15.967704344536346,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:54.637188+00:00
FusedEpi,pooled,closed_form,0,test,mdape,11.23949436037164,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:54.637190+00:00
FusedEpi,pooled,closed_form,0,test,bias_mean_error,-1.3088805883244863,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:54.637191+00:00
FusedEpi,pooled,closed_form,0,test,msle,0.0444669429115753,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:38:54.637192+00:00
