model,scope,record_type,step,split,metric_name,value,params_json,saved_at
GAM-Spline,pooled,optuna_trial,0,optuna_trial,WIS,3.47087293189604,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T21:13:14.603707+00:00
GAM-Spline,pooled,optuna_trial,1,optuna_trial,WIS,1.6123891564937942,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T21:13:14.603717+00:00
GAM-Spline,pooled,optuna_trial,2,optuna_trial,WIS,2.7998990044634025,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T21:13:14.603721+00:00
GAM-Spline,pooled,optuna_trial,3,optuna_trial,WIS,1.8401512213173958,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T21:13:14.603724+00:00
GAM-Spline,pooled,optuna_trial,4,optuna_trial,WIS,4.440636186334783,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T21:13:14.603726+00:00
GAM-Spline,pooled,optuna_trial,5,optuna_trial,WIS,3.7781996062474112,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T21:13:14.603728+00:00
GAM-Spline,pooled,optuna_trial,6,optuna_trial,WIS,3.778199606247294,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T21:13:14.603730+00:00
GAM-Spline,pooled,closed_form,0,test,r2,0.5835283058900516,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T21:13:15.184080+00:00
GAM-Spline,pooled,closed_form,0,test,MAE,7.942824841719829,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T21:13:15.184091+00:00
GAM-Spline,pooled,closed_form,0,test,RMSE,16.771776524157914,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T21:13:15.184093+00:00
GAM-Spline,pooled,closed_form,0,test,mse,281.2924877762946,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T21:13:15.184095+00:00
