model,scope,record_type,step,split,metric_name,value,params_json,saved_at
LightGBM,pooled,optuna_trial,0,optuna_trial,WIS,2.200659335050841,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T20:54:02.865125+00:00
LightGBM,pooled,optuna_trial,1,optuna_trial,WIS,7.529964869324321,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T20:54:02.865136+00:00
LightGBM,pooled,optuna_trial,2,optuna_trial,WIS,6.023451300967077,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T20:54:02.865139+00:00
LightGBM,pooled,optuna_trial,3,optuna_trial,WIS,5.771617330052049,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T20:54:02.865142+00:00
LightGBM,pooled,optuna_trial,4,optuna_trial,WIS,15.691474337432808,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T20:54:02.865144+00:00
LightGBM,pooled,optuna_trial,5,optuna_trial,WIS,4.140697566110409,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T20:54:02.865146+00:00
LightGBM,pooled,optuna_trial,6,optuna_trial,WIS,4.1406797023143,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T20:54:02.865148+00:00
LightGBM,pooled,closed_form,0,test,r2,0.7344138647226077,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T20:55:20.798963+00:00
LightGBM,pooled,closed_form,0,test,MAE,7.69960197401993,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T20:55:20.798970+00:00
LightGBM,pooled,closed_form,0,test,RMSE,13.393343948008718,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T20:55:20.798973+00:00
LightGBM,pooled,closed_form,0,test,mse,179.38166210966176,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T20:55:20.798975+00:00
LightGBM,pooled,closed_form,0,test,MAPE,23.169382590162158,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T20:55:20.798976+00:00
LightGBM,pooled,closed_form,0,test,SMAPE,23.73821339364103,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T20:55:20.798978+00:00
LightGBM,pooled,closed_form,0,test,mdape,18.410940496375353,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T20:55:20.798979+00:00
