model,scope,record_type,step,split,metric_name,value,params_json,saved_at
Mamba,pooled,optuna_trial,0,optuna_trial,WIS,5.612844146360075,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T23:08:12.150380+00:00
Mamba,pooled,optuna_trial,1,optuna_trial,WIS,3.9578788351031107,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T23:08:12.150390+00:00
Mamba,pooled,optuna_trial,2,optuna_trial,WIS,4.448441443153679,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T23:08:12.150394+00:00
Mamba,pooled,optuna_trial,3,optuna_trial,WIS,4.460346441176573,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T23:08:12.150397+00:00
Mamba,pooled,optuna_trial,4,optuna_trial,WIS,7.387029864131559,"{""x_mode"": ""none"", ""y_individual"": ""log1p"", ""y_mode"": ""individual""}",2026-06-30T23:08:12.150399+00:00
Mamba,pooled,closed_form,0,test,r2,0.8086685553022268,null,2026-06-30T23:11:39.189530+00:00
Mamba,pooled,closed_form,0,test,MAE,7.584314667076626,null,2026-06-30T23:11:39.189540+00:00
Mamba,pooled,closed_form,0,test,RMSE,11.367880448357033,null,2026-06-30T23:11:39.189543+00:00
Mamba,pooled,closed_form,0,test,mse,129.22870588813808,null,2026-06-30T23:11:39.189545+00:00
Mamba,pooled,closed_form,0,test,MAPE,33.39909826166454,null,2026-06-30T23:11:39.189547+00:00
Mamba,pooled,closed_form,0,test,SMAPE,37.65801590396678,null,2026-06-30T23:11:39.189548+00:00
Mamba,pooled,closed_form,0,test,mdape,31.020875695150444,null,2026-06-30T23:11:39.189550+00:00
Mamba,pooled,closed_form,0,test,bias_mean_error,-3.219711279067673,null,2026-06-30T23:11:39.189551+00:00
Mamba,pooled,closed_form,0,test,msle,0.21976715952550677,null,2026-06-30T23:11:39.189553+00:00
Mamba,pooled,closed_form,0,test,theils_u,1.2790933270319225,null,2026-06-30T23:11:39.189554+00:00
Mamba,pooled,closed_form,0,test,mase_h1,4.22075773225623,null,2026-06-30T23:11:39.189556+00:00
Mamba,pooled,closed_form,0,test,mase_h4,1.6207294089610331,null,2026-06-30T23:11:39.189557+00:00
Mamba,pooled,closed_form,0,test,mase_h13,0.0046192462659848475,null,2026-06-30T23:11:39.189559+00:00
Mamba,pooled,closed_form,0,test,mase_h26,7.024496265154296e-7,null,2026-06-30T23:11:39.189560+00:00
Mamba,pooled,closed_form,0,test,mase_h52,1.4228289874241888e-14,null,2026-06-30T23:11:39.189562+00:00
Mamba,pooled,closed_form,0,test,tp,41.0,null,2026-06-30T23:11:39.189564+00:00
Mamba,pooled,closed_form,0,test,tn,22.0,null,2026-06-30T23:11:39.189565+00:00
Mamba,pooled,closed_form,0,test,fp,0.0,null,2026-06-30T23:11:39.189567+00:00
Mamba,pooled,closed_form,0,test,fn,5.0,null,2026-06-30T23:11:39.189568+00:00
Mamba,pooled,closed_form,0,test,sensitivity,0.9310344827586207,null,2026-06-30T23:11:39.189570+00:00
Mamba,pooled,closed_form,0,test,specificity,0.8461538461538461,null,2026-06-30T23:11:39.189571+00:00
Mamba,pooled,closed_form,0,test,ppv,0.8181818181818182,null,2026-06-30T23:11:39.189573+00:00
Mamba,pooled,closed_form,0,test,npv,0.9428571428571428,null,2026-06-30T23:11:39.189574+00:00
Mamba,pooled,closed_form,0,test,accuracy,0.9264705882352942,null,2026-06-30T23:11:39.189576+00:00
Mamba,pooled,closed_form,0,test,prevalence,0.6764705882352942,null,2026-06-30T23:11:39.189577+00:00
Mamba,pooled,closed_form,0,test,balanced_accuracy,0.9456521739130435,null,2026-06-30T23:11:39.189579+00:00
Mamba,pooled,closed_form,0,test,g_mean,0.9440891630699332,null,2026-06-30T23:11:39.189580+00:00
Mamba,pooled,closed_form,0,test,f1,0.8709677419354839,null,2026-06-30T23:11:39.189582+00:00
Mamba,pooled,closed_form,0,test,f2_score,0.9111111111111111,null,2026-06-30T23:11:39.189583+00:00
Mamba,pooled,closed_form,0,test,f05_score,0.9761904761904762,null,2026-06-30T23:11:39.189585+00:00
Mamba,pooled,closed_form,0,test,alert_f1,0.9425287356321839,null,2026-06-30T23:11:39.189586+00:00
Mamba,pooled,closed_form,0,test,youden_j,0.7771883289124668,null,2026-06-30T23:11:39.189588+00:00
Mamba,pooled,closed_form,0,test,mcc,0.7690712570153367,null,2026-06-30T23:11:39.189589+00:00
Mamba,pooled,closed_form,0,test,dor,902.0,null,2026-06-30T23:11:39.189591+00:00
Mamba,pooled,closed_form,0,test,markedness,0.8148148148148149,null,2026-06-30T23:11:39.189592+00:00
Mamba,pooled,closed_form,0,test,cohens_kappa,0.7636837532580364,null,2026-06-30T23:11:39.189594+00:00
Mamba,pooled,closed_form,0,test,lr_positive,6.051724137931034,null,2026-06-30T23:11:39.189595+00:00
Mamba,pooled,closed_form,0,test,lr_negative,0.0815047021943574,null,2026-06-30T23:11:39.189596+00:00
Mamba,pooled,closed_form,0,test,direction_acc,0.7313432835820896,null,2026-06-30T23:11:39.189598+00:00
Mamba,pooled,closed_form,0,test,pi99_coverage,1.0,null,2026-06-30T23:11:39.189599+00:00
Mamba,pooled,closed_form,0,test,pi99_width,75.7856201171875,null,2026-06-30T23:11:39.189601+00:00
Mamba,pooled,closed_form,0,test,pi95_coverage,0.9705882352941176,null,2026-06-30T23:11:39.189602+00:00
Mamba,pooled,closed_form,0,test,pi95_width,53.175004359654,null,2026-06-30T23:11:39.189603+00:00
Mamba,pooled,closed_form,0,test,pi80_coverage,0.9117647058823529,null,2026-06-30T23:11:39.189605+00:00
Mamba,pooled,closed_form,0,test,pi80_width,31.041817365373873,null,2026-06-30T23:11:39.189606+00:00
Mamba,pooled,closed_form,0,test,pi50_coverage,0.75,null,2026-06-30T23:11:39.189607+00:00
Mamba,pooled,closed_form,0,test,pi50_width,7.5688353947230755,null,2026-06-30T23:11:39.189609+00:00
Mamba,pooled,closed_form,0,test,pi_sharpness_ratio,2.046073412128537,null,2026-06-30T23:11:39.189610+00:00
Mamba,pooled,closed_form,0,test,pi95_ci_lo,0.8989536863477694,null,2026-06-30T23:11:39.189611+00:00
Mamba,pooled,closed_form,0,test,pi95_ci_hi,0.9918968204568701,null,2026-06-30T23:11:39.189613+00:00
Mamba,pooled,closed_form,0,test,pi95_relia,0.020588235294117685,null,2026-06-30T23:11:39.189614+00:00
Mamba,pooled,closed_form,0,test,pi80_relia,0.0235294117647058,null,2026-06-30T23:11:39.189616+00:00
Mamba,pooled,closed_form,0,test,sigma_in_sample,14.996713975033593,null,2026-06-30T23:11:39.189617+00:00
Mamba,pooled,closed_form,0,test,alert_threshold,8.6,null,2026-06-30T23:11:39.189618+00:00
Mamba,pooled,closed_form,0,test,WIS,6.021642432684533,null,2026-06-30T23:11:39.189620+00:00
Mamba,pooled,closed_form,0,test,log_wis,0.24629683287632154,null,2026-06-30T23:11:39.189621+00:00
Mamba,pooled,closed_form,0,test,wis_sharpness,3.19532,null,2026-06-30T23:11:39.189623+00:00
Mamba,pooled,closed_form,0,test,wis_underpred,0.482797,null,2026-06-30T23:11:39.189624+00:00
Mamba,pooled,closed_form,0,test,wis_overpred,1.684021,null,2026-06-30T23:11:39.189626+00:00
Mamba,pooled,closed_form,0,test,wis_total_decomp,6.021642,null,2026-06-30T23:11:39.189628+00:00
Mamba,pooled,closed_form,0,test,crps_gaussian,6.336155892699121,null,2026-06-30T23:11:39.189629+00:00
Mamba,pooled,closed_form,0,test,pinball_q05,1.394465288399897,null,2026-06-30T23:11:39.189630+00:00
Mamba,pooled,closed_form,0,test,pinball_q95,1.4713211524978156,null,2026-06-30T23:11:39.189632+00:00
Mamba,pooled,closed_form,0,test,brier_score,0.07662455882352942,null,2026-06-30T23:11:39.189633+00:00
Mamba,pooled,closed_form,0,test,brier_skill,0.6691353561863341,null,2026-06-30T23:11:39.189634+00:00
Mamba,pooled,closed_form,0,test,brier_reliability,0.028218,null,2026-06-30T23:11:39.189636+00:00
Mamba,pooled,closed_form,0,test,brier_resolution,0.169839,null,2026-06-30T23:11:39.189638+00:00
Mamba,pooled,closed_form,0,test,brier_uncertainty,0.218858,null,2026-06-30T23:11:39.189639+00:00
Mamba,pooled,closed_form,0,test,roc_auc,0.9782608695652173,null,2026-06-30T23:11:39.189640+00:00
Mamba,pooled,closed_form,0,test,auprc,0.9904489598061612,null,2026-06-30T23:11:39.189642+00:00
Mamba,pooled,closed_form,0,test,partial_auc_high_spec,0.04150197628458498,null,2026-06-30T23:11:39.189643+00:00
Mamba,pooled,closed_form,0,test,calibration_slope,1.9638814048382738,null,2026-06-30T23:11:39.189645+00:00
Mamba,pooled,closed_form,0,test,calibration_intercept,1.5927234848021248,null,2026-06-30T23:11:39.189646+00:00
Mamba,pooled,closed_form,0,test,pit_mean,0.5603432978587248,null,2026-06-30T23:11:39.189647+00:00
Mamba,pooled,closed_form,0,test,pit_std,0.20858606676732255,null,2026-06-30T23:11:39.189649+00:00
