model,scope,record_type,step,split,metric_name,value,params_json,saved_at
OverseasTransfer,pooled,optuna_trial,0,optuna_trial,WIS,3.091124759153358,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:51.395817+00:00
OverseasTransfer,pooled,optuna_trial,1,optuna_trial,WIS,11.489651970268502,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:51.395832+00:00
OverseasTransfer,pooled,optuna_trial,2,optuna_trial,WIS,1001.7303333949778,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:51.395837+00:00
OverseasTransfer,pooled,optuna_trial,3,optuna_trial,WIS,3268.205839336108,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:51.395840+00:00
OverseasTransfer,pooled,optuna_trial,4,optuna_trial,WIS,25681.757415505992,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:51.395843+00:00
OverseasTransfer,pooled,optuna_trial,5,optuna_trial,WIS,58.238597439434656,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:51.395846+00:00
OverseasTransfer,pooled,optuna_trial,6,optuna_trial,WIS,54.44558958808385,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:51.395849+00:00
OverseasTransfer,pooled,closed_form,0,test,r2,0.8144255581974347,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644330+00:00
OverseasTransfer,pooled,closed_form,0,test,MAE,6.919122669476422,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644340+00:00
OverseasTransfer,pooled,closed_form,0,test,RMSE,11.195549221949442,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644342+00:00
OverseasTransfer,pooled,closed_form,0,test,mse,125.34032238109276,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644344+00:00
OverseasTransfer,pooled,closed_form,0,test,MAPE,22.741647844650362,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644346+00:00
OverseasTransfer,pooled,closed_form,0,test,SMAPE,25.681817527073065,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644348+00:00
OverseasTransfer,pooled,closed_form,0,test,mdape,19.37554192322964,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644349+00:00
OverseasTransfer,pooled,closed_form,0,test,bias_mean_error,-5.121707477890143,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644351+00:00
OverseasTransfer,pooled,closed_form,0,test,msle,0.09532687593522939,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644352+00:00
OverseasTransfer,pooled,closed_form,0,test,theils_u,1.0600808566619466,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644354+00:00
OverseasTransfer,pooled,closed_form,0,test,mase_h1,3.8505707884716007,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644355+00:00
OverseasTransfer,pooled,closed_form,0,test,mase_h4,1.4785812676403434,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644357+00:00
OverseasTransfer,pooled,closed_form,0,test,mase_h13,0.00421410937676581,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644358+00:00
OverseasTransfer,pooled,closed_form,0,test,mase_h26,6.408403854980836e-7,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644360+00:00
OverseasTransfer,pooled,closed_form,0,test,mase_h52,1.2980379551511328e-14,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644361+00:00
OverseasTransfer,pooled,closed_form,0,test,tp,43.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644363+00:00
OverseasTransfer,pooled,closed_form,0,test,tn,22.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644365+00:00
OverseasTransfer,pooled,closed_form,0,test,fp,0.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T02:18:53.644366+00:00
