model,scope,record_type,step,split,metric_name,value,params_json,saved_at
PatchTST,pooled,optuna_trial,0,optuna_trial,WIS,8.065885138029303,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:23:15.518147+00:00
PatchTST,pooled,optuna_trial,1,optuna_trial,WIS,5.3144993671673175,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:23:15.518158+00:00
PatchTST,pooled,optuna_trial,2,optuna_trial,WIS,4.753634718305694,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:23:15.518162+00:00
PatchTST,pooled,optuna_trial,3,optuna_trial,WIS,3.873751432007935,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:23:15.518165+00:00
PatchTST,pooled,optuna_trial,4,optuna_trial,WIS,8.232466302412487,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:23:15.518169+00:00
PatchTST,pooled,closed_form,0,test,r2,0.7337878126059115,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:25:07.626482+00:00
PatchTST,pooled,closed_form,0,test,MAE,8.257810731963785,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:25:07.626490+00:00
PatchTST,pooled,closed_form,0,test,RMSE,13.409120366074418,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:25:07.626493+00:00
PatchTST,pooled,closed_form,0,test,mse,179.80450899187173,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:25:07.626494+00:00
PatchTST,pooled,closed_form,0,test,MAPE,24.50028749364541,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:25:07.626496+00:00
PatchTST,pooled,closed_form,0,test,SMAPE,25.94331954628652,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:25:07.626497+00:00
PatchTST,pooled,closed_form,0,test,mdape,15.47353662563728,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:25:07.626499+00:00
PatchTST,pooled,closed_form,0,test,bias_mean_error,-5.387995581264189,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:25:07.626500+00:00
PatchTST,pooled,closed_form,0,test,msle,0.1150900767970245,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:25:07.626502+00:00
PatchTST,pooled,closed_form,0,test,theils_u,1.1175467026359875,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:25:07.626503+00:00
PatchTST,pooled,closed_form,0,test,mase_h1,4.59556598432633,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:25:07.626505+00:00
PatchTST,pooled,closed_form,0,test,mase_h4,1.764652087159047,"{""x_mode"": ""none"", ""y_individual"": ""fourth_root"", ""y_mode"": ""individual""}",2026-06-30T22:25:07.626506+00:00
