model,scope,record_type,step,split,metric_name,value,params_json,saved_at
RandomForest,pooled,optuna_trial,0,optuna_trial,WIS,2.281666523651246,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:01:16.776680+00:00
RandomForest,pooled,optuna_trial,1,optuna_trial,WIS,2.8690402258583294,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:01:16.776693+00:00
RandomForest,pooled,optuna_trial,2,optuna_trial,WIS,2.4219401923374795,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:01:16.776696+00:00
RandomForest,pooled,optuna_trial,3,optuna_trial,WIS,2.7395291196184366,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:01:16.776698+00:00
RandomForest,pooled,optuna_trial,4,optuna_trial,WIS,4.987089643270776,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:01:16.776700+00:00
RandomForest,pooled,optuna_trial,5,optuna_trial,WIS,2.6702721733528616,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:01:16.776702+00:00
RandomForest,pooled,optuna_trial,6,optuna_trial,WIS,2.574223983377378,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:01:16.776705+00:00
RandomForest,pooled,closed_form,0,test,r2,0.8062261947011855,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950896+00:00
RandomForest,pooled,closed_form,0,test,MAE,6.584537736350408,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950904+00:00
RandomForest,pooled,closed_form,0,test,RMSE,11.440206302940704,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950907+00:00
RandomForest,pooled,closed_form,0,test,mse,130.87832025384418,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950909+00:00
RandomForest,pooled,closed_form,0,test,MAPE,21.239439522688567,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950911+00:00
RandomForest,pooled,closed_form,0,test,SMAPE,22.107939798034085,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950912+00:00
RandomForest,pooled,closed_form,0,test,mdape,14.668446662611654,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950914+00:00
RandomForest,pooled,closed_form,0,test,bias_mean_error,-3.643532451514054,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950915+00:00
RandomForest,pooled,closed_form,0,test,msle,0.08642297621352844,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950917+00:00
RandomForest,pooled,closed_form,0,test,theils_u,1.0433246256049995,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950919+00:00
RandomForest,pooled,closed_form,0,test,mase_h1,3.664370451911411,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950921+00:00
RandomForest,pooled,closed_form,0,test,mase_h4,1.4070821718464173,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950922+00:00
RandomForest,pooled,closed_form,0,test,mase_h13,0.004010329566612858,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950923+00:00
RandomForest,pooled,closed_form,0,test,mase_h26,6.098515524091408e-7,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950925+00:00
RandomForest,pooled,closed_form,0,test,mase_h52,1.2352693119046136e-14,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950926+00:00
RandomForest,pooled,closed_form,0,test,tp,42.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:02:39.950928+00:00
