model,scope,record_type,step,split,metric_name,value,params_json,saved_at
SVR-Linear,pooled,optuna_trial,0,optuna_trial,WIS,6.294858819048864,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:39.114726+00:00
SVR-Linear,pooled,optuna_trial,1,optuna_trial,WIS,5922.6742051379115,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:39.114738+00:00
SVR-Linear,pooled,optuna_trial,2,optuna_trial,WIS,6.22771732601862,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:39.114742+00:00
SVR-Linear,pooled,optuna_trial,3,optuna_trial,WIS,6.62679362761332,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:39.114745+00:00
SVR-Linear,pooled,optuna_trial,4,optuna_trial,WIS,5488.377464428072,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:39.114747+00:00
SVR-Linear,pooled,closed_form,0,test,r2,0.3791738527780125,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056368+00:00
SVR-Linear,pooled,closed_form,0,test,MAE,15.59047730003802,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056375+00:00
SVR-Linear,pooled,closed_form,0,test,RMSE,20.47723536627034,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056378+00:00
SVR-Linear,pooled,closed_form,0,test,mse,419.3171682456328,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056380+00:00
SVR-Linear,pooled,closed_form,0,test,MAPE,67.37505691473062,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056381+00:00
SVR-Linear,pooled,closed_form,0,test,SMAPE,115.86069640034023,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056383+00:00
SVR-Linear,pooled,closed_form,0,test,mdape,69.94737566139216,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056385+00:00
SVR-Linear,pooled,closed_form,0,test,bias_mean_error,-14.748164640644571,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056386+00:00
SVR-Linear,pooled,closed_form,0,test,msle,2.0812754326464886,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056388+00:00
SVR-Linear,pooled,closed_form,0,test,theils_u,2.3668665615804403,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056389+00:00
SVR-Linear,pooled,closed_form,0,test,mase_h1,8.67627867542905,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056391+00:00
SVR-Linear,pooled,closed_form,0,test,mase_h4,3.331605579288359,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056392+00:00
SVR-Linear,pooled,closed_form,0,test,mase_h13,0.00949542011564254,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056393+00:00
SVR-Linear,pooled,closed_form,0,test,mase_h26,1.4439702777825614e-6,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056395+00:00
SVR-Linear,pooled,closed_form,0,test,mase_h52,2.9247972959992143e-14,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056396+00:00
SVR-Linear,pooled,closed_form,0,test,tp,27.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056397+00:00
SVR-Linear,pooled,closed_form,0,test,tn,22.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056399+00:00
SVR-Linear,pooled,closed_form,0,test,fp,0.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056400+00:00
SVR-Linear,pooled,closed_form,0,test,fn,19.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056401+00:00
SVR-Linear,pooled,closed_form,0,test,sensitivity,0.6206896551724138,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056403+00:00
SVR-Linear,pooled,closed_form,0,test,specificity,0.9743589743589743,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056404+00:00
SVR-Linear,pooled,closed_form,0,test,ppv,0.9473684210526315,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056405+00:00
SVR-Linear,pooled,closed_form,0,test,npv,0.7755102040816326,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056407+00:00
SVR-Linear,pooled,closed_form,0,test,accuracy,0.7205882352941176,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056408+00:00
SVR-Linear,pooled,closed_form,0,test,prevalence,0.6764705882352942,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:09:42.056409+00:00
