model,scope,record_type,step,split,metric_name,value,params_json,saved_at
SVR-RBF,pooled,optuna_trial,0,optuna_trial,WIS,1.6865226473343107,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:09.391021+00:00
SVR-RBF,pooled,optuna_trial,1,optuna_trial,WIS,1.9569353164224117,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:09.391031+00:00
SVR-RBF,pooled,optuna_trial,2,optuna_trial,WIS,1.7274528878082862,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:09.391034+00:00
SVR-RBF,pooled,optuna_trial,3,optuna_trial,WIS,1.8179760652153887,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:09.391036+00:00
SVR-RBF,pooled,optuna_trial,4,optuna_trial,WIS,3.6508695252791936,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:09.391039+00:00
SVR-RBF,pooled,closed_form,0,test,r2,0.8214802984890363,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.898970+00:00
SVR-RBF,pooled,closed_form,0,test,MAE,6.449764680073279,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.898978+00:00
SVR-RBF,pooled,closed_form,0,test,RMSE,10.98068411570719,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.898980+00:00
SVR-RBF,pooled,closed_form,0,test,mse,120.5754236489442,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.898982+00:00
SVR-RBF,pooled,closed_form,0,test,MAPE,18.79798991760993,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.898983+00:00
SVR-RBF,pooled,closed_form,0,test,SMAPE,20.030061719488998,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.898985+00:00
SVR-RBF,pooled,closed_form,0,test,mdape,12.31738858159336,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.898986+00:00
SVR-RBF,pooled,closed_form,0,test,bias_mean_error,-4.769776527970172,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.898988+00:00
SVR-RBF,pooled,closed_form,0,test,msle,0.06640377294841887,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.898989+00:00
SVR-RBF,pooled,closed_form,0,test,theils_u,0.9176916879423446,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.898991+00:00
SVR-RBF,pooled,closed_form,0,test,mase_h1,3.5893677068577485,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.898993+00:00
SVR-RBF,pooled,closed_form,0,test,mase_h4,1.3782818562698356,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.898994+00:00
SVR-RBF,pooled,closed_form,0,test,mase_h13,0.003928245691629931,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.898995+00:00
SVR-RBF,pooled,closed_form,0,test,mase_h26,5.97369042492038e-7,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.898997+00:00
SVR-RBF,pooled,closed_form,0,test,mase_h52,1.2099856811993537e-14,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.898998+00:00
SVR-RBF,pooled,closed_form,0,test,tp,44.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.899000+00:00
SVR-RBF,pooled,closed_form,0,test,tn,21.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.899001+00:00
SVR-RBF,pooled,closed_form,0,test,fp,1.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.899003+00:00
SVR-RBF,pooled,closed_form,0,test,fn,2.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.899004+00:00
SVR-RBF,pooled,closed_form,0,test,sensitivity,1.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.899005+00:00
SVR-RBF,pooled,closed_form,0,test,specificity,0.9487179487179487,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.899007+00:00
SVR-RBF,pooled,closed_form,0,test,ppv,0.9354838709677419,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.899008+00:00
SVR-RBF,pooled,closed_form,0,test,npv,1.0,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.899010+00:00
SVR-RBF,pooled,closed_form,0,test,accuracy,0.9558823529411765,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.899011+00:00
SVR-RBF,pooled,closed_form,0,test,prevalence,0.6764705882352942,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.899013+00:00
SVR-RBF,pooled,closed_form,0,test,balanced_accuracy,0.9555335968379447,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.899014+00:00
SVR-RBF,pooled,closed_form,0,test,g_mean,0.9555330859059092,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.899016+00:00
SVR-RBF,pooled,closed_form,0,test,f1,0.9666666666666666,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.899017+00:00
SVR-RBF,pooled,closed_form,0,test,f2_score,0.9606986899563319,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-06-30T21:11:40.899018+00:00
