model,scope,record_type,step,split,metric_name,value,params_json,saved_at
SeirCount-TabPFN,pooled,optuna_trial,0,optuna_trial,WIS,2.510847710186224,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:00:18.477297+00:00
SeirCount-TabPFN,pooled,optuna_trial,1,optuna_trial,WIS,1.8792173619911288,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:00:18.477307+00:00
SeirCount-TabPFN,pooled,optuna_trial,2,optuna_trial,WIS,1.8439519078378857,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:00:18.477310+00:00
SeirCount-TabPFN,pooled,optuna_trial,3,optuna_trial,WIS,2.036332099550358,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:00:18.477314+00:00
SeirCount-TabPFN,pooled,optuna_trial,4,optuna_trial,WIS,3.5068320026501283,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:00:18.477316+00:00
SeirCount-TabPFN,pooled,optuna_trial,5,optuna_trial,WIS,2.72899727722591,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:00:18.477318+00:00
SeirCount-TabPFN,pooled,optuna_trial,6,optuna_trial,WIS,2.7289961618154828,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:00:18.477321+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,r2,0.9361015761462226,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396167+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,MAE,4.0669006222915876,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396175+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,RMSE,6.569486055712552,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396178+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,mse,43.15814703620167,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396179+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,MAPE,14.307888864991924,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396181+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,SMAPE,14.987727325853148,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396183+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,mdape,10.333636571236083,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396185+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,bias_mean_error,-2.437082368194878,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396187+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,msle,0.038964159474717416,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396188+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,theils_u,0.7363634704750814,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396190+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,mase_h1,2.263276644146846,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396191+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,mase_h4,0.8690759457123812,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396193+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,mase_h13,0.0024769562364285367,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396195+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,mase_h26,3.766711889744475e-7,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396196+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,mase_h52,7.629567532962542e-15,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396198+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,tp,46.0,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396200+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,tn,21.0,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396201+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,fp,1.0,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396203+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,fn,0.0,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396204+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,sensitivity,0.9655172413793104,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396206+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,specificity,0.9487179487179487,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396208+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,ppv,0.9333333333333333,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396209+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,npv,0.9736842105263158,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396211+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,accuracy,0.9852941176470589,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396212+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,prevalence,0.6764705882352942,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396214+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,balanced_accuracy,0.9772727272727273,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396215+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,g_mean,0.9770084209183945,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396217+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,f1,0.9491525423728815,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396218+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,f2_score,0.9956709956709957,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396220+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,f05_score,0.9829059829059829,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396221+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,alert_f1,0.989247311827957,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396222+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,youden_j,0.914235190097259,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396224+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,mcc,0.9106192160459141,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396225+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,dor,966.0,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396226+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,markedness,0.978723404255319,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396228+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,cohens_kappa,0.9102112676056339,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396229+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,lr_positive,18.827586206896537,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396231+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,lr_negative,0.036346691519105266,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396232+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,direction_acc,0.7164179104477612,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396233+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,pi99_coverage,1.0,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396235+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,pi99_width,40.03922121834087,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396236+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,pi95_coverage,1.0,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396237+00:00
SeirCount-TabPFN,pooled,closed_form,0,test,pi95_width,38.335155785071464,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:02:14.396239+00:00
