model,scope,record_type,step,split,metric_name,value,params_json,saved_at
TCN,pooled,optuna_trial,0,optuna_trial,WIS,8.579923621690082,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:18:25.312522+00:00
TCN,pooled,optuna_trial,1,optuna_trial,WIS,6400.501588313049,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:18:25.312534+00:00
TCN,pooled,optuna_trial,2,optuna_trial,WIS,6129.254575009797,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:18:25.312538+00:00
TCN,pooled,optuna_trial,3,optuna_trial,WIS,10371.599313259141,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:18:25.312540+00:00
TCN,pooled,optuna_trial,4,optuna_trial,WIS,24952.953323448804,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:18:25.312542+00:00
TCN,pooled,optuna_trial,5,optuna_trial,WIS,1410.4933197451526,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:18:25.312544+00:00
TCN,pooled,optuna_trial,6,optuna_trial,WIS,1410.5121579971292,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:18:25.312546+00:00
TCN,pooled,dl_epoch,0,train,loss,0.8179161002238592,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:23:29.527533+00:00
TCN,pooled,dl_epoch,0,val,loss,1.773627519607544,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:23:29.527541+00:00
TCN,pooled,dl_epoch,0,train,lr,0.000059999999999999995,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:23:29.527544+00:00
TCN,pooled,dl_epoch,1,train,loss,0.7623512691685131,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:23:29.527546+00:00
TCN,pooled,dl_epoch,1,val,loss,1.5452759265899658,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:23:29.527548+00:00
TCN,pooled,dl_epoch,1,train,lr,0.00011999999999999999,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:23:29.527550+00:00
TCN,pooled,dl_epoch,2,train,loss,0.6469776055642537,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:23:29.527552+00:00
TCN,pooled,dl_epoch,2,val,loss,0.9945684671401978,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:23:29.527553+00:00
TCN,pooled,dl_epoch,2,train,lr,0.00017999999999999998,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:23:29.527555+00:00
TCN,pooled,dl_epoch,3,train,loss,0.44219219791037695,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:23:29.527556+00:00
TCN,pooled,dl_epoch,3,val,loss,0.5348998308181763,"{""x_mode"": ""none"", ""y_mode"": ""none""}",2026-07-01T01:23:29.527558+00:00
