model,scope,record_type,step,split,metric_name,value,params_json,saved_at
Theta,pooled,closed_form,0,test,r2,0.8656776302582703,{},2026-06-30T21:20:26.140551+00:00
Theta,pooled,closed_form,0,test,MAE,5.700771676532128,{},2026-06-30T21:20:26.140559+00:00
Theta,pooled,closed_form,0,test,RMSE,9.524901535239842,{},2026-06-30T21:20:26.140562+00:00
Theta,pooled,closed_form,0,test,mse,90.72374925601429,{},2026-06-30T21:20:26.140564+00:00
Theta,pooled,closed_form,0,test,MAPE,20.49381381632516,{},2026-06-30T21:20:26.140566+00:00
Theta,pooled,closed_form,0,test,SMAPE,19.748214996569565,{},2026-06-30T21:20:26.140567+00:00
Theta,pooled,closed_form,0,test,mdape,14.648034653733884,{},2026-06-30T21:20:26.140569+00:00
Theta,pooled,closed_form,0,test,bias_mean_error,-0.7061079283119722,{},2026-06-30T21:20:26.140570+00:00
Theta,pooled,closed_form,0,test,msle,0.0659105450325731,{},2026-06-30T21:20:26.140572+00:00
Theta,pooled,closed_form,0,test,theils_u,0.9643553475280182,{},2026-06-30T21:20:26.140573+00:00
Theta,pooled,closed_form,0,test,mase_h1,3.1725445461804425,{},2026-06-30T21:20:26.140575+00:00
Theta,pooled,closed_form,0,test,mase_h4,1.2182258668717714,{},2026-06-30T21:20:26.140576+00:00
Theta,pooled,closed_form,0,test,mase_h13,0.003472069585188159,{},2026-06-30T21:20:26.140578+00:00
Theta,pooled,closed_form,0,test,mase_h26,5.279982583546035e-7,{},2026-06-30T21:20:26.140579+00:00
Theta,pooled,closed_form,0,test,mase_h52,1.0694734525279361e-14,{},2026-06-30T21:20:26.140580+00:00
Theta,pooled,closed_form,0,test,tp,45.0,{},2026-06-30T21:20:26.140582+00:00
Theta,pooled,closed_form,0,test,tn,21.0,{},2026-06-30T21:20:26.140584+00:00
Theta,pooled,closed_form,0,test,fp,1.0,{},2026-06-30T21:20:26.140585+00:00
Theta,pooled,closed_form,0,test,fn,1.0,{},2026-06-30T21:20:26.140586+00:00
Theta,pooled,closed_form,0,test,sensitivity,0.9655172413793104,{},2026-06-30T21:20:26.140587+00:00
Theta,pooled,closed_form,0,test,specificity,0.9487179487179487,{},2026-06-30T21:20:26.140589+00:00
Theta,pooled,closed_form,0,test,ppv,0.9333333333333333,{},2026-06-30T21:20:26.140590+00:00
Theta,pooled,closed_form,0,test,npv,0.9736842105263158,{},2026-06-30T21:20:26.140591+00:00
Theta,pooled,closed_form,0,test,accuracy,0.9705882352941176,{},2026-06-30T21:20:26.140593+00:00
Theta,pooled,closed_form,0,test,prevalence,0.6764705882352942,{},2026-06-30T21:20:26.140594+00:00
Theta,pooled,closed_form,0,test,balanced_accuracy,0.9664031620553359,{},2026-06-30T21:20:26.140595+00:00
Theta,pooled,closed_form,0,test,g_mean,0.9663304126452619,{},2026-06-30T21:20:26.140597+00:00
Theta,pooled,closed_form,0,test,f1,0.9491525423728815,{},2026-06-30T21:20:26.140598+00:00
