model,scope,record_type,step,split,metric_name,value,params_json,saved_at
TimesNet,pooled,optuna_trial,0,optuna_trial,WIS,15.883290086664797,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-07-01T00:21:46.013720+00:00
TimesNet,pooled,optuna_trial,1,optuna_trial,WIS,21.440480571122382,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-07-01T00:21:46.013729+00:00
TimesNet,pooled,optuna_trial,2,optuna_trial,WIS,5.644191216286261,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-07-01T00:21:46.013732+00:00
TimesNet,pooled,optuna_trial,3,optuna_trial,WIS,12.138952502231152,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-07-01T00:21:46.013735+00:00
TimesNet,pooled,optuna_trial,4,optuna_trial,WIS,15.408614335416566,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-07-01T00:21:46.013738+00:00
TimesNet,pooled,optuna_trial,5,optuna_trial,WIS,14.777407652861271,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-07-01T00:21:46.013740+00:00
TimesNet,pooled,optuna_trial,6,optuna_trial,WIS,15.718613988533445,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-07-01T00:21:46.013742+00:00
TimesNet,pooled,closed_form,0,test,r2,0.4618282242472945,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-07-01T00:24:08.112247+00:00
TimesNet,pooled,closed_form,0,test,MAE,16.624267719093947,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-07-01T00:24:08.112255+00:00
TimesNet,pooled,closed_form,0,test,RMSE,19.0654377388447,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-07-01T00:24:08.112257+00:00
