model,scope,record_type,step,split,metric_name,value,params_json,saved_at
hhh4-equivalent,pooled,closed_form,0,test,r2,0.8694241485375448,{},2026-06-30T21:13:43.758474+00:00
hhh4-equivalent,pooled,closed_form,0,test,MAE,5.701407768278584,{},2026-06-30T21:13:43.758481+00:00
hhh4-equivalent,pooled,closed_form,0,test,RMSE,9.391127903034088,{},2026-06-30T21:13:43.758484+00:00
hhh4-equivalent,pooled,closed_form,0,test,mse,88.1932832911454,{},2026-06-30T21:13:43.758485+00:00
hhh4-equivalent,pooled,closed_form,0,test,MAPE,19.299386962726675,{},2026-06-30T21:13:43.758487+00:00
hhh4-equivalent,pooled,closed_form,0,test,SMAPE,21.86062205563013,{},2026-06-30T21:13:43.758489+00:00
hhh4-equivalent,pooled,closed_form,0,test,mdape,15.931365700655551,{},2026-06-30T21:13:43.758490+00:00
hhh4-equivalent,pooled,closed_form,0,test,bias_mean_error,-5.030130489478076,{},2026-06-30T21:13:43.758492+00:00
hhh4-equivalent,pooled,closed_form,0,test,msle,0.07300778015402887,{},2026-06-30T21:13:43.758493+00:00
hhh4-equivalent,pooled,closed_form,0,test,theils_u,0.9964818547405645,{},2026-06-30T21:13:43.758495+00:00
hhh4-equivalent,pooled,closed_form,0,test,mase_h1,3.172898538502113,{},2026-06-30T21:13:43.758497+00:00
hhh4-equivalent,pooled,closed_form,0,test,mase_h4,1.2183617964376627,{},2026-06-30T21:13:43.758498+00:00
hhh4-equivalent,pooled,closed_form,0,test,mase_h13,0.0034724569984949144,{},2026-06-30T21:13:43.758500+00:00
hhh4-equivalent,pooled,closed_form,0,test,mase_h26,5.280571723671862e-7,{},2026-06-30T21:13:43.758501+00:00
hhh4-equivalent,pooled,closed_form,0,test,mase_h52,1.0695927843087558e-14,{},2026-06-30T21:13:43.758503+00:00
hhh4-equivalent,pooled,closed_form,0,test,tp,42.0,{},2026-06-30T21:13:43.758505+00:00
hhh4-equivalent,pooled,closed_form,0,test,tn,22.0,{},2026-06-30T21:13:43.758508+00:00
hhh4-equivalent,pooled,closed_form,0,test,fp,0.0,{},2026-06-30T21:13:43.758510+00:00
hhh4-equivalent,pooled,closed_form,0,test,fn,4.0,{},2026-06-30T21:13:43.758512+00:00
hhh4-equivalent,pooled,closed_form,0,test,sensitivity,0.9310344827586207,{},2026-06-30T21:13:43.758513+00:00
hhh4-equivalent,pooled,closed_form,0,test,specificity,0.9487179487179487,{},2026-06-30T21:13:43.758514+00:00
hhh4-equivalent,pooled,closed_form,0,test,ppv,0.9310344827586207,{},2026-06-30T21:13:43.758516+00:00
hhh4-equivalent,pooled,closed_form,0,test,npv,0.9487179487179487,{},2026-06-30T21:13:43.758517+00:00
hhh4-equivalent,pooled,closed_form,0,test,accuracy,0.9411764705882353,{},2026-06-30T21:13:43.758518+00:00
hhh4-equivalent,pooled,closed_form,0,test,prevalence,0.6764705882352942,{},2026-06-30T21:13:43.758520+00:00
hhh4-equivalent,pooled,closed_form,0,test,balanced_accuracy,0.9565217391304348,{},2026-06-30T21:13:43.758521+00:00
hhh4-equivalent,pooled,closed_form,0,test,g_mean,0.9555330859059091,{},2026-06-30T21:13:43.758523+00:00
hhh4-equivalent,pooled,closed_form,0,test,f1,0.9310344827586207,{},2026-06-30T21:13:43.758524+00:00
hhh4-equivalent,pooled,closed_form,0,test,f2_score,0.9292035398230089,{},2026-06-30T21:13:43.758526+00:00
hhh4-equivalent,pooled,closed_form,0,test,f05_score,0.9813084112149533,{},2026-06-30T21:13:43.758527+00:00
hhh4-equivalent,pooled,closed_form,0,test,alert_f1,0.9545454545454546,{},2026-06-30T21:13:43.758529+00:00
hhh4-equivalent,pooled,closed_form,0,test,youden_j,0.8797524314765695,{},2026-06-30T21:13:43.758530+00:00
hhh4-equivalent,pooled,closed_form,0,test,mcc,0.8797524314765695,{},2026-06-30T21:13:43.758531+00:00
hhh4-equivalent,pooled,closed_form,0,test,dor,924.0,{},2026-06-30T21:13:43.758532+00:00
hhh4-equivalent,pooled,closed_form,0,test,markedness,0.8461538461538463,{},2026-06-30T21:13:43.758534+00:00
hhh4-equivalent,pooled,closed_form,0,test,cohens_kappa,0.8797524314765693,{},2026-06-30T21:13:43.758535+00:00
hhh4-equivalent,pooled,closed_form,0,test,lr_positive,18.15517241379309,{},2026-06-30T21:13:43.758537+00:00
hhh4-equivalent,pooled,closed_form,0,test,lr_negative,0.07269338303821066,{},2026-06-30T21:13:43.758538+00:00
hhh4-equivalent,pooled,closed_form,0,test,direction_acc,0.7164179104477612,{},2026-06-30T21:13:43.758539+00:00
hhh4-equivalent,pooled,closed_form,0,test,pi99_coverage,1.0,{},2026-06-30T21:13:43.758541+00:00
hhh4-equivalent,pooled,closed_form,0,test,pi99_width,75.58842120836162,{},2026-06-30T21:13:43.758542+00:00
hhh4-equivalent,pooled,closed_form,0,test,pi95_coverage,0.9852941176470589,{},2026-06-30T21:13:43.758543+00:00
hhh4-equivalent,pooled,closed_form,0,test,pi95_width,49.10856336046717,{},2026-06-30T21:13:43.758544+00:00
hhh4-equivalent,pooled,closed_form,0,test,pi80_coverage,0.9264705882352942,{},2026-06-30T21:13:43.758546+00:00
hhh4-equivalent,pooled,closed_form,0,test,pi80_width,20.543689926880035,{},2026-06-30T21:13:43.758547+00:00
hhh4-equivalent,pooled,closed_form,0,test,pi50_coverage,0.8088235294117647,{},2026-06-30T21:13:43.758548+00:00
hhh4-equivalent,pooled,closed_form,0,test,pi50_width,3.6852849844183933,{},2026-06-30T21:13:43.758549+00:00
hhh4-equivalent,pooled,closed_form,0,test,pi_sharpness_ratio,1.889604467544144,{},2026-06-30T21:13:43.758551+00:00
hhh4-equivalent,pooled,closed_form,0,test,pi95_ci_lo,0.8989536863477694,{},2026-06-30T21:13:43.758552+00:00
hhh4-equivalent,pooled,closed_form,0,test,pi95_ci_hi,0.9918968204568701,{},2026-06-30T21:13:43.758553+00:00
hhh4-equivalent,pooled,closed_form,0,test,pi95_relia,0.020588235294117685,{},2026-06-30T21:13:43.758554+00:00
hhh4-equivalent,pooled,closed_form,0,test,pi80_relia,0.0235294117647058,{},2026-06-30T21:13:43.758556+00:00
hhh4-equivalent,pooled,closed_form,0,test,sigma_in_sample,14.996713975033593,{},2026-06-30T21:13:43.758558+00:00
hhh4-equivalent,pooled,closed_form,0,test,alert_threshold,8.6,{},2026-06-30T21:13:43.758559+00:00
hhh4-equivalent,pooled,closed_form,0,test,WIS,5.175567710791311,{},2026-06-30T21:13:43.758560+00:00
hhh4-equivalent,pooled,closed_form,0,test,log_wis,0.18119668537279413,{},2026-06-30T21:13:43.758561+00:00
hhh4-equivalent,pooled,closed_form,0,test,wis_sharpness,3.19532,{},2026-06-30T21:13:43.758563+00:00
hhh4-equivalent,pooled,closed_form,0,test,wis_underpred,0.01838,{},2026-06-30T21:13:43.758564+00:00
hhh4-equivalent,pooled,closed_form,0,test,wis_overpred,1.466093,{},2026-06-30T21:13:43.758565+00:00
hhh4-equivalent,pooled,closed_form,0,test,wis_total_decomp,5.175568,{},2026-06-30T21:13:43.758567+00:00
hhh4-equivalent,pooled,closed_form,0,test,crps_gaussian,5.467431335664355,{},2026-06-30T21:13:43.758568+00:00
hhh4-equivalent,pooled,closed_form,0,test,pinball_q05,1.484986248920417,{},2026-06-30T21:13:43.758570+00:00
hhh4-equivalent,pooled,closed_form,0,test,pinball_q95,1.2151956102367119,{},2026-06-30T21:13:43.758571+00:00
hhh4-equivalent,pooled,closed_form,0,test,brier_score,0.09891458823529413,{},2026-06-30T21:13:43.758572+00:00
hhh4-equivalent,pooled,closed_form,0,test,brier_skill,0.5728870677112949,{},2026-06-30T21:13:43.758574+00:00
hhh4-equivalent,pooled,closed_form,0,test,brier_reliability,0.087018,{},2026-06-30T21:13:43.758576+00:00
hhh4-equivalent,pooled,closed_form,0,test,brier_resolution,0.206603,{},2026-06-30T21:13:43.758577+00:00
hhh4-equivalent,pooled,closed_form,0,test,brier_uncertainty,0.218858,{},2026-06-30T21:13:43.758579+00:00
hhh4-equivalent,pooled,closed_form,0,test,roc_auc,1.0,{},2026-06-30T21:13:43.758580+00:00
hhh4-equivalent,pooled,closed_form,0,test,auprc,1.0,{},2026-06-30T21:13:43.758581+00:00
hhh4-equivalent,pooled,closed_form,0,test,partial_auc_high_spec,0.0,{},2026-06-30T21:13:43.758582+00:00
hhh4-equivalent,pooled,closed_form,0,test,calibration_slope,2.3384495385350985,{},2026-06-30T21:13:43.758583+00:00
hhh4-equivalent,pooled,closed_form,0,test,calibration_intercept,4.638847702374634,{},2026-06-30T21:13:43.758585+00:00
hhh4-equivalent,pooled,closed_form,0,test,pit_mean,0.6083319956886516,{},2026-06-30T21:13:43.758586+00:00
hhh4-equivalent,pooled,closed_form,0,test,pit_std,0.1495501588210159,{},2026-06-30T21:13:43.758587+00:00
hhh4-equivalent,pooled,closed_form,0,test,pit_ks_p,1.91497281280527e-10,{},2026-06-30T21:13:43.758589+00:00
hhh4-equivalent,pooled,closed_form,0,test,peak_week_err,1.0,{},2026-06-30T21:13:43.758590+00:00
hhh4-equivalent,pooled,closed_form,0,test,peak_int_relerr,0.2225909367227297,{},2026-06-30T21:13:43.758592+00:00
hhh4-equivalent,pooled,closed_form,0,test,epi_peak_mae,18.99227626512826,{},2026-06-30T21:13:43.758593+00:00
hhh4-equivalent,pooled,closed_form,0,test,epi_season_total_mae,342.0488732845092,{},2026-06-30T21:13:43.758594+00:00
hhh4-equivalent,pooled,closed_form,0,test,attack_rate_relerr,-0.179422700622087,{},2026-06-30T21:13:43.758596+00:00
hhh4-equivalent,pooled,closed_form,0,test,growth_rate_corr,0.6482124750384795,{},2026-06-30T21:13:43.758597+00:00
hhh4-equivalent,pooled,closed_form,0,test,lead_time_weeks,-1.0,{},2026-06-30T21:13:43.758598+00:00
hhh4-equivalent,pooled,closed_form,0,test,season_onset_err,1.0,{},2026-06-30T21:13:43.758599+00:00
hhh4-equivalent,pooled,closed_form,0,test,epidemic_duration_err,0.0,{},2026-06-30T21:13:43.758601+00:00
hhh4-equivalent,pooled,closed_form,0,test,pearson_r,0.9626011147087397,{},2026-06-30T21:13:43.758602+00:00
hhh4-equivalent,pooled,closed_form,0,test,spearman_r,0.9688606411541795,{},2026-06-30T21:13:43.758603+00:00
hhh4-equivalent,pooled,closed_form,0,test,c_index,0.9262187088274044,{},2026-06-30T21:13:43.758604+00:00
hhh4-equivalent,pooled,closed_form,0,test,cost_skill_3to1,0.7948717948717949,{},2026-06-30T21:13:43.758606+00:00
hhh4-equivalent,pooled,closed_form,0,test,cost_skill_5to1,0.6923076923076923,{},2026-06-30T21:13:43.758607+00:00
hhh4-equivalent,pooled,closed_form,0,test,cost_skill_10to1,0.4358974358974359,{},2026-06-30T21:13:43.758609+00:00
