model,scope,record_type,step,split,metric_name,value,params_json,saved_at
iTransformer,pooled,optuna_trial,0,optuna_trial,WIS,15.168210552277207,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:44:02.081925+00:00
iTransformer,pooled,optuna_trial,1,optuna_trial,WIS,13.377692420524538,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:44:02.081935+00:00
iTransformer,pooled,optuna_trial,2,optuna_trial,WIS,9.409849871442155,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:44:02.081939+00:00
iTransformer,pooled,optuna_trial,3,optuna_trial,WIS,14.21571465424235,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:44:02.081942+00:00
iTransformer,pooled,optuna_trial,4,optuna_trial,WIS,21.749315550939123,"{""x_mode"": ""none"", ""y_individual"": ""sqrt"", ""y_mode"": ""individual""}",2026-06-30T22:44:02.081945+00:00
iTransformer,pooled,closed_form,0,test,r2,-0.11100466908511941,null,2026-06-30T22:46:25.292529+00:00
iTransformer,pooled,closed_form,0,test,MAE,17.575109764708195,null,2026-06-30T22:46:25.292537+00:00
iTransformer,pooled,closed_form,0,test,RMSE,27.39329435860163,null,2026-06-30T22:46:25.292540+00:00
iTransformer,pooled,closed_form,0,test,mse,750.3925758169959,null,2026-06-30T22:46:25.292541+00:00
iTransformer,pooled,closed_form,0,test,MAPE,51.14634667311366,null,2026-06-30T22:46:25.292543+00:00
iTransformer,pooled,closed_form,0,test,SMAPE,72.03236391153669,null,2026-06-30T22:46:25.292544+00:00
iTransformer,pooled,closed_form,0,test,mdape,47.29616465187455,null,2026-06-30T22:46:25.292546+00:00
iTransformer,pooled,closed_form,0,test,bias_mean_error,-15.948448163521391,null,2026-06-30T22:46:25.292547+00:00
iTransformer,pooled,closed_form,0,test,msle,0.8590630099517717,null,2026-06-30T22:46:25.292549+00:00
iTransformer,pooled,closed_form,0,test,theils_u,1.9084328585214392,null,2026-06-30T22:46:25.292550+00:00
iTransformer,pooled,closed_form,0,test,mase_h1,9.78074930839293,null,2026-06-30T22:46:25.292552+00:00
iTransformer,pooled,closed_form,0,test,mase_h4,3.7557114270365766,null,2026-06-30T22:46:25.292553+00:00
iTransformer,pooled,closed_form,0,test,mase_h13,0.010704165599473268,null,2026-06-30T22:46:25.292555+00:00
iTransformer,pooled,closed_form,0,test,mase_h26,1.6277844251081916e-6,null,2026-06-30T22:46:25.292556+00:00
iTransformer,pooled,closed_form,0,test,mase_h52,3.297117370266949e-14,null,2026-06-30T22:46:25.292557+00:00
iTransformer,pooled,closed_form,0,test,tp,40.0,null,2026-06-30T22:46:25.292559+00:00
iTransformer,pooled,closed_form,0,test,tn,20.0,null,2026-06-30T22:46:25.292560+00:00
iTransformer,pooled,closed_form,0,test,fp,2.0,null,2026-06-30T22:46:25.292562+00:00
iTransformer,pooled,closed_form,0,test,fn,6.0,null,2026-06-30T22:46:25.292563+00:00
iTransformer,pooled,closed_form,0,test,sensitivity,0.6206896551724138,null,2026-06-30T22:46:25.292564+00:00
iTransformer,pooled,closed_form,0,test,specificity,0.8717948717948718,null,2026-06-30T22:46:25.292566+00:00
iTransformer,pooled,closed_form,0,test,ppv,0.782608695652174,null,2026-06-30T22:46:25.292567+00:00
iTransformer,pooled,closed_form,0,test,npv,0.7555555555555555,null,2026-06-30T22:46:25.292568+00:00
iTransformer,pooled,closed_form,0,test,accuracy,0.8823529411764706,null,2026-06-30T22:46:25.292569+00:00
iTransformer,pooled,closed_form,0,test,prevalence,0.6764705882352942,null,2026-06-30T22:46:25.292570+00:00
iTransformer,pooled,closed_form,0,test,balanced_accuracy,0.8893280632411067,null,2026-06-30T22:46:25.292572+00:00
iTransformer,pooled,closed_form,0,test,g_mean,0.889108448948774,null,2026-06-30T22:46:25.292573+00:00
iTransformer,pooled,closed_form,0,test,f1,0.6923076923076923,null,2026-06-30T22:46:25.292574+00:00
iTransformer,pooled,closed_form,0,test,f2_score,0.8849557522123894,null,2026-06-30T22:46:25.292575+00:00
iTransformer,pooled,closed_form,0,test,f05_score,0.9345794392523364,null,2026-06-30T22:46:25.292577+00:00
iTransformer,pooled,closed_form,0,test,alert_f1,0.9090909090909091,null,2026-06-30T22:46:25.292578+00:00
iTransformer,pooled,closed_form,0,test,youden_j,0.4924845269672855,null,2026-06-30T22:46:25.292579+00:00
iTransformer,pooled,closed_form,0,test,mcc,0.5148179937480256,null,2026-06-30T22:46:25.292581+00:00
iTransformer,pooled,closed_form,0,test,dor,66.66666666666667,null,2026-06-30T22:46:25.292582+00:00
iTransformer,pooled,closed_form,0,test,markedness,0.7216117216117217,null,2026-06-30T22:46:25.292583+00:00
iTransformer,pooled,closed_form,0,test,cohens_kappa,0.505903723887375,null,2026-06-30T22:46:25.292585+00:00
iTransformer,pooled,closed_form,0,test,lr_positive,4.841379310344828,null,2026-06-30T22:46:25.292586+00:00
